Scenario,Risk_Level,Cause_of_Accident,Keywords
"At 9:15 a.m. on October 20, 2021, two employees were working for a municipality's public works department. One was working as a civil engineer. He and the other employee were surveying a roadway in advance of making repairs. A support vehicle was behind the civil engineer, following him. It was struck by another vehicle. The support vehicle lunged forward and struck the civil engineer. He suffered head trauma. He was hospitalized. The narrative provided no information about the other employee, other than saying that the other employee was not hospitalized. Possibly, he was in the support vehicle.",Low,Transportation Incidents,"construction, head, highway, highway work zone, road"
"At 2:45 p.m. on February 9, 2021, Employee #1 was working for a power and communication line contractor. Employee #1 was placing tools in the toolbox located on the bed of boom truck #1. A coworker was operating boom truck #2 in reverse towards boom truck #1. Employee #1 was in boom truck #1, when it was struck by boom truck #2. The arms of Employee #1 were caught between the two vehicles. Employee #1 suffered fractured bones in arm which required hospitalization and surgery.",Medium,Transportation Incidents,"arm, boom, bucket, bucket truck, caught between"
"At 12:00 p.m. on February 12, 2021, Employee #1 was working for a firm engaged in civil and heavy engineering construction work. Employee #1 was vertical drilling with an excavator when the machine left the roadway. The excavator slid 150 feet and came to rest on the rocks above the ocean. Employee #1 suffered hip and collarbone fractures as well as head and knee lacerations. Employee #1 was hospitalized.",Medium,Contact With Objects,"collarbone, construction vehicle, drill, drilling, excavator"
"At 2:45 p.m. on October 13, 2021, an employee was driving a variable reach forklift back to the worksite office yard at the end of shift. The employee was an installer at a new solar energy farm project worksite. The employee was dead- heading the forklift and traveling northbound at 5 mph on a 17 ft wide dirt road with a berm on each side, with a dry ditch to the left and a water-filled ditch on the right side of the road. Although the employee was trying to stay away from the water- filled ditch, the fork-lift right front wheel got too close to the right side and began to ride on the dirt berm, causing the forklift to fall into the ditch and overturn. The employee fractured his clavicle and multiple ribs, and was hospitalized.",Medium,Falls,"clavicle, construction, fall, forklift, fracture"
"At 2:15 p.m. on January 25, 2021, Employee #1, employed by a construction company, was operating a telehandler on a public road, on his way to the onsite garage at a construction site. As he drove, the right front tires were off the pavement and on the dirt alongside the road. The dirt gave way to a hillside. The telehandler rolled over and down the hill, landing on its side. Employee #1 sustained unspecified struck-by injuries within the cab. He was transported to the hospital and admitted for treatment of injuries.",Medium,Struck By Object,"construction vehicle, embankment, equipment operator, forklift, material handling"
"At 1:30 p.m. on January 11, 2021, Employee #1 was guiding the operator of a Lull (material handler equipment) at the construction site for a multifamily residential building. Employee #1 was walking on ground level when he fell. The Lull's tire ran over his left foot. The employee was transported to the hospital and admitted for treatment of fractures to the left foot, ankle, and toes.",Medium,Transportation Incidents,"ankle, construction vehicle, crushed, equipment operator, foot"
"At 11:45 a.m. on January 21, 2021, Employee # 1 and a coworker, employed by a construction company, were working on site preparation for a future multifamily residential structure. The coworker was operating a Caterpillar Model 325 hydraulic excavator. Employee #1 was waiting and planning the next spoil pile to be removed with the excavator. While the excavator operator was rotating his tracks to move up the road, Employee # 1 was struck by the left side track, and his left foot was crushed. Employee #1 was hospitalized for treatment of a brain hemorrhage, crushing injuries to the left foot, and a degloving (avulsion) of the skin on the left foot.",Medium,Transportation Incidents,"avulsion, blunt force trauma, brain, crushed, degloving"
"At 2:05 p.m. on January 15, 2021, Employee #1, employed by a construction contractor, was doing repair work at a two-story residential structure. He was working on the top level of a two-level metal scaffold and repairing a wall when he leaned back against the top scaffold rail. The rail came loose, and the employee fell, a fall height of 12 feet. The employee was transported to the hospital, where he was admitted for treatment of a traumatic head injury.",Medium,Falls,"blunt force trauma, equipment failure, fall, fall protection, guardrail"
"At 3:00 p.m. on January 20, 2021, an employee working as an iron worker for a fabricated structural steel manufacturer was working inside the platform of a scissor lift. The employee was using a tension control gun to snap bolts for steelwork erection. The extension cord for the gun was attached to the top rail of the scissor lift platform. While moving the scissor lift into position, the employee drove over the extension cord with one lift tire and created tension in the cord. The employee pinched his thumb between the cord and the top rail as a result. The employee amputated his thumb tip and was hospitalized.",Medium,Transportation Incidents,"amputated, amputation, catch point, caught between, construction"
"At 9:30 a.m. on January 22, 2021, Employee #1 was engaged in roofing work at a two-story commercial building. He was applying metal sheets/planks to the roof when he stepped onto a roof shingle and fell through, a fall height of 15 feet. The employee was transported to the hospital and admitted for treatment of multiple injuries, including crushed ribs, a punctured lung, head injuries, and internal injuries.",Medium,Falls,"blunt force trauma, collapsed lung, construction, crushed, fall"
"At 3:00 p.m. on February 1, 2021, Employee #1, a carpenter employed by a remodeling company, was laying down plywood on the floor of a residence. He stood up and stepped back into an unprotected/unguarded opening in the floor. The employee fell to the lower level, a fall height of 9 feet. He was transported to the hospital and admitted for treatment of a concussion and a fractured right pinky finger.",Medium,Falls,"carpenter, concussion, cover, fall, fall protection"
"At 2:20 p.m. on January 15, 2021, Employee #1, a newly hired laborer employed by a waterproofing company, was engaged in waterproofing work at the construction site for two hotel/resort buildings. She was tasked with mixing concrete in 5-gallon buckets. The employee used a one-half-inch Dewalt Spade Handle Drill, Model DW130V, to mix the concrete. The drill was missing the side handle, and the employee was operating the drill while wearing gloves. The glove of her left hand became entangled in the chuck of the drill, and her pinky finger was partially amputated. The employee was transported to the hospital for treatment of the finger amputation and released without hospitalization.",Medium,Falls,"amputated, amputation, caught in, concrete mixer, construction"
"At 9:00 a.m. on January 26, 2021, Employee #1, employed by an HVAC contractor, was operating a Wysong Bending Roller machine to bend various sizes of metal hangers he was assigned to fabricate. He had made more than 90 of these hangers and was working on the last one when his hand became caught in the rollers as he fed in the flat stock. There was no guarding on the machine. The employee was able to hit the kick plate to stop the operation and the pneumatic air lever to raise the roller up and free his hand. The employee was transported to the hospital and admitted for treatment of four crushed and fractured fingers on his left hand.",Medium,Struck By Object,"bending machine, caught in, construction, crushed, equipment operator"
"At 2:00 p.m. on January 15, 2021, Employee #1 and two coworkers, employed by a company in the solar energy field, were preparing to install new solar panels on the roof of a single-story residence. Employee #1, the crew leader, was directing the work and marking studs when he stepped back onto a canvas tarp that was hung in the corner where the main house and an addition connected at 90 degrees. The tarp was hung to provide shade to an air conditioning unit that was on the ground immediately below the tarp. Employee #1 fell through the tarp and struck the air conditioner before impacting the ground. Employee #1 was transported to the hospital and admitted for treatment of fractures to the collarbone and ribs. During the subsequent investigation, it was determined that the crew had not performed an initial hazard assessment and had not used fall protection.",Medium,Falls,"air conditioner, collarbone, fall, fall protection, fracture"
"At 2:00 p.m. on January 28, 2021, Employees #1 and #2 were engaged in demolition work at a recreation building. They were inside a scissor lift and removing an air duct inside the gymnasium. During the removal process, the employees rested 20 to 22 feet of the air duct across the rails of the scissor lift. As the employees cut anchor points, the air duct lost its structural integrity, and a portion of it broke loose from the ceiling. This turbulent movement caused the scissor lift to become unstable, the scissor lift tipped over, and the employees fell 20 feet. The employees were transported to the hospital, where both were admitted for treatment. Injuries included a fractured pelvis, fractured arms, fractured ankles, and muscle tears.",Medium,Transportation Incidents,"ankle, arm, blunt force trauma, construction, contusion"
"At 9:00 a.m. on February 3, 2021, Employee #1, employed by a construction contractor, was working at the rehabilitation of a one-story commercial building. He was operating a circular saw and cutting wood when his finger came into contact with the saw's blade. The finger was amputated. The employee was transported to the hospital and admitted for treatment of the amputation.",Medium,Contact With Objects,"amputated, amputation, blade, carpenter, circular saw"
"At 11:27 a.m. on January 13, 2021, Employee #1, employed by a roofing contractor, was cleaning debris from roof tops at a condominium complex. He was using a 30-pound gasoline-operated blower. He was cleaning the roof of the single- story community center, which featured a convex, unguarded skylight that measured 53 inches by 101 inches. The area around the skylight was narrow and limited. As the employee moved around the skylight to perform his cleaning task, he fell through it and onto the carpeted floor below, a fall height of 13 feet. The employee was transported to the hospital and admitted for treatment of a fractured left arm that required surgery. The investigation determined there had been no place for the employee to tie-off on the roof top area, and no site specific evaluation and safety measures had been taken to prevent a fall.",Medium,Falls,"arm, blunt force trauma, cleaning, fall, fall protection"
"At 1:00 p.m. on January 26, 2021, Employee #1 was working at the construction site for a new two-story residential structure. He was dismantling a stair scaffold when he fell from the scaffold platform, a fall height of 10 feet. The employee was transported to the hospital and admitted for treatment of a fractured ankle.",Medium,Falls,"ankle, blunt force trauma, dismantling, elevated work platform, fall"
"At 6:00 p.m. on January 12, 2021, Employee #1, employed by a roofing contractor, was installing composite shingles on the second story roof of a residential structure. At the end of his work shift, as he was cleaning up debris, he disconnected his fall protection to walk from his work area across the roof to a ladder. As he was crossing the roof, the employee fell and struck the bottom of a newly constructed, empty swimming pool, a fall height of 24.6 feet. Emergency services transported the employee to the hospital, where he was admitted for treatment of multiple injuries, including fractures to an arm, wrist, and ribs, and fluid that required draining from his head.",Medium,Falls,"arm, collarbone, fall, fall protection, fracture"
"At 10:30 a.m. on January 28, 2021, Employee #1, employed by a glass company, was using a saw in the employer's facility. He was cutting a piece of metal when his right thumb came into contact with the saw blade and was partially amputated. The employee received medical treatment for the amputation but was not hospitalized.",Low,Contact With Objects,"amputation, blade, construction, contact, cutting"
"At 2:00 p.m. on January 26, 2021, Employee #1, employed by a remodeling company, was engaged in a waterproofing project at a multifamily residential building. He was carrying a bucket of hot tar when he tripped and fell, and hot tar splashed over his left hand burn. The employee was transported to the hospital and admitted for treatment of burns.",Medium,Falls,"bucket, burn, fall, fall protection, hand"
"At 3:30 p.m. on February 10, 2021, Employee #1 was working for a roofing contractor. Employee #1 was installing a new roof at a residence. Employee #1 was on top of the front roof of the house manually installing a felt layer. Employee #1 slipped and fell 12 feet to the concrete floor below. Employee #1 suffered fractured ribs which resulted in hospitalization.",Medium,Falls,"concrete, concrete floor, elevated, elevated work plat, elevated work platform"
"At 7:05 a.m. on January 05, 2021, Employee #1, a field technician/truck operator employed by a remodeling company, was trying to drive a one-ton truck out of the employer's parking lot. The truck was used to transport specialized equipment and material necessary for restoration services needing particular care and attention by the operator, who must have received refresher or load specific training or instructions, where the operation of emergency/parking brakes and familiarity with the truck's transmission operation were paramount. The employee had not received this training. The operator started the engine and engaged the transmission to drive position. The truck did not move, because the parking/emergency brake was engaged. He could not figure out how to disengage the parking brake, so he exited the cab and tried to release the brake while standing on the ground. The driver side door was still open. The employee released the parking brake, and the truck started to move forward slowly. The driver, still standing on the ground, tried to move the transmission lever to the parking position, but the transmission lever stuck in the reverse position, causing the truck to reverse and move backward. The moving truck's open door crushed the operator against an adjacent Conex box (container). The employee was transported to the hospital and admitted for treatment of outer body bruises, spleen damage, and leg sprains.",Medium,Transportation Incidents,"blunt force trauma, brake, caught between, construction, contusion"
"At 9:30 a.m. on February 3, 2021, Employee #1 was performing housekeeping on the roof of a commercial building as part of a roof repair project. He was walking from his work area to the roof hatch, a distance of approximately 125 feet. The steel deck had been removed to perform patching of both the standing seam panels and the insulation. In the area where patching was taking place, there were no covers, guardrails, or warning lines, and a controlled decking zone had not been established. The employee attempted to cross the purlin where the insulation was exposed, and his foot went through the insulation. He then fell 15 feet, striking a suspended ceiling and then landing on the concrete floor below. Emergency services transported the employee to the hospital, where he was admitted for treatment of a fractured lumbar vertebra.",Medium,Falls,"concrete, construction, fall, fall protection, fracture"
"At 2:30 p.m. on January 25, 2021, Employee #1, employed by a construction company, was using a table saw to rip a wood board at a commercial building site. The employee was pushing the board with his left hand. When he reached to turn the power switch off with his right hand, the board kicked back, and his left hand was pulled into the blade. One finger was amputated by the saw, and two other fingers lacerated. The employee was transported to the hospital and admitted for treatment. A physician treated the amputation and needed to surgically amputate the two severely lacerated fingers.",Medium,Electrocution,"amputated, amputation, blade, carpenter, caught by"
"At 10:00 a.m. on January 7, 2021, Employee #1 was operating a gutter machine. He was mechanically feeding via spool assembly/loading coil a 24 gauge, 7-inch wide metal gutter coil into the 7-inch facia roll forming gutter machine. A miss feed occurred, and the coil became jammed. The employee, without first deenergizing the machine, attempted to slide open the guard in order to trouble shoot and clear the jam. As he was sliding the guard, his gloved right pinky finger made contact with a rotating sprocket/chain mechanism. The finger was partially amputated. The employee was transported to a medical care center, admitted, and treated for the partial amputation.",Medium,Struck By Object,"amputation, chain, construction, contact, energized"
"At approximately 3:00 p.m. on January 22, 2021, an employee working as a pest control operator for a termite control service was working from a ladder repairing damaged fascia boards of a single-family house. The employee fell off the ladder and struck the concrete surface below. The employee was hospitalized for more than 24 hours to treat a fractured to lumbar spine and right tibial plateau.",Medium,Transportation Incidents,"board, building, concrete surface, construction, fall"
"At 9:30 a.m. on February 9, 2021, Employee #1 was working for a roofing contractor. Employee #1 was installing asphalt shingles on a roof. Employee #1 was not utilizing fall protection and fell from roof to the ground. Employee #1 suffered injuries and was hospitalized.",Medium,Falls,"asphalt, construction, elevated, elevated work plat, elevated work platform"
"At 9:30 a.m. on January 4, 2021, Employee #1, employed by a roofing company, was repairing the roof of a residential building. He was climbing down a ladder when he fell, a fall height of 8 feet. The employee was transported to the hospital, where he was admitted for treatment of contusions.",Medium,Falls,"blunt force trauma, climbing on ladder, contusion, fall, fall protection"
"At 12:00 p.m. on January 4, 2021, Employee #1 and coworkers, employed by a mobile water pump drilling and maintenance company, were loading a water pump that weighed approximately 1,000 pounds onto a pickup truck. They were using the derrick mounted on the main rig, cables and pulleys. During this process, which involved guiding the water pump by hand, Employee #1 put his gloved hand in front of a pulley. As the pulley was operating, his gloved right ring finger was pulled into the pulley, resulting in a laceration and partial amputation. The employee received medical treatment for the partial amputation but was not hospitalized.",Low,Struck By Object,"amputation, caught in, construction, derrick truck, finger"
"At 2:30 p.m. on January 18, 2021, Employee #1, a forklift operator employed by a construction company, was working at the site of a new two-story residence. He had brought the trash box over to the back of the house and was standing on the ground picking up trash. A gust of wind snapped the cross braces holding up a 21-foot wide by 22-foot high top heavy back framed wall, causing the wall to collapse. The falling wall crushed Employee #1 between one of the wall's cross braces and the trash box. The employee was transported to the hospital and admitted for treatment of extensive injuries. These included fractures to both shoulders, both collarbones, and all ribs, and punctures to both lungs.",Medium,Caught In Between,"blunt force trauma, brace, cleaning, collapse, collapsed lung"
"At 4:30 p.m. on January 13, 2021, Employee #1 and a coworker were working at height and preparing to install a framed wall for a three-story multifamily residential structure. Both were wearing fall protection, but there was excess slack in their lifelines. The coworker lost his balance, and both employees fell into an unguarded stairwell. Employee #1 fell 15 feet and struck a landing. He required hospitalization for injuries that included fractures to four ribs, a thumb, a foot, and part of his face. The coworker also fell, but from a different anchor point, and his fall arrest system caught him. He struck the ground but with reduced force, and he did not sustain injuries.",Medium,Falls,"equipment failure, erection process, face, fall, fall protection"
"At 11:00 a.m. on January 26, 2021, Employee #1, employed by a roofing contractor, was engaged in roofing work for a new two-story residential structure. He was carrying plywood and laying it on the roof trusses when he slipped and fell, first striking a wall walker scaffold that was in place on a wall a few feet below the roof line, and then continuing to fall to the surface, a total fall height of 12 feet. He landed on his back, against a hammer he was holding on his work belt. The employee was transported to the hospital and admitted for treatment of a fractured vertebra.",Medium,Falls,"back, blunt force trauma, fall, fall protection, fracture"
"At 1:00 p.m. on January 12, 2021, Employee #1 was engaged in welding work for a water/sewer treatment plant construction project. He was welding embeds under the joist beams to support the joists. As he worked from a 28-foot extension ladder, the ladder slid back. The employee fell 7 feet to the concrete floor. The employee was transported to the hospital, where he was admitted for treatment of a fracture to his hand that required surgery.",Medium,Falls,"beam, blunt force trauma, construction, extension ladder, fall"
"At 11:40 a.m. on January 8, 2021, Employee #1 was doing touch-up painting to the exterior of a two-story residential structure. He was climbing down a ladder that had been set up on the roof. However, the ladder's feet were positioned straight up instead of flat on the roof. The ladder moved, and the employee fell, a fall height of 6 to 7 feet to the next level. The employee required hospitalization for treatment of a fractured left wrist.",Medium,Falls,"blunt force trauma, climbing on ladder, fall, fracture, paint"
"At 11:00 a.m. on January 28, 2021, Employee #1 was installing counters for a restroom renovation in a 19-story commercial building. He was using a pair of tin snips to cut a metal stud. The sharp edge of the stud sliced through his glove and into his right hand. The knuckle area at the base of his thumb was lacerated. The employee was transported to the hospital and admitted for treatment of the laceration.",Medium,Contact With Objects,"carpenter, construction, contact, cutting, glove"
"At 12:07 p.m. on January 19, 2021, Employee #1, employed by an electrical contractor, was returning to the job site, a two-story commercial building, after a lunch break. The employee was on the building's roof when he fell through a skylight, a fall height of approximately 25 feet. The employee was transported to the hospital and admitted for treatment of a traumatic head injury.",Medium,Electrocution,"blunt force trauma, construction, electrical, electrical work, fall"
"At 7:15 a.m. on January 5, 2021, Employee #1, employed by a construction company, was engaged in exterior carpentry work for a new four-story multifamily residential structure. He was using a pneumatic nail gun to secure plywood to wood joists. The employee grabbed on to the corner of the building, lost his balance, rolled over the edge of the structure, and fell 20 feet to an elevated concrete deck. The employee was wearing fall protection equipment, but there was excess slack in the lifeline, and the system failed to protect him. The employee was transported to the hospital, admitted, and treated for an ankle sprain.",Medium,Falls,"ankle, carpenter, fall, fall protection, installing"
"At 2:00 p.m. on January 19, 2021, Employee #1 and his foreman, employed by an electrical contractor, were working on the roof of a two-story commercial building. They were pulling wires from the electrical panel located on the ground floor to the roof top air conditioner unit and hard wiring the unit. As Employee #1 assisted the foreman by pulling the fish line, he was walking along the edge of the roof. Employee #1 fell, a fall height of 18 feet. Employee #1 was transported to the hospital and admitted for treatment of fractures to the pelvis and femur (thighbone).",Medium,Electrocution,"air conditioner, blunt force trauma, construction, electrical, electrical panel"
"At 5:02 p.m. on January 21, 2021, Employee #1 and a coworker were performing demolition work at a three-story university building. Employee #1 was on the ground level at the end of a chute. He was using a Bobcat T650 Track Loader to collect the material being dropped down the chute and place the material in a container. The coworker on the second floor dropped a 5-foot concrete block down the chute, and it struck Employee #1 on the leg. Employee #1 was transported to the hospital and admitted for treatment of a leg fracture, lacerations, and contusions. The subsequent investigation determined that the discharge end of the chute had not been equipped with a substantial gate, and no one was directing operations at the chute discharge.",Medium,Struck By Object,"blunt force trauma, concrete block, construction, contusion, demolition"
"At 12:29 p.m. on January 18, 2021, Employee #1, a subcontractor for a property management company, was checking on a possible hot water leak in the enclosure area of a commercial building's dumpster site. The employee positioned his 12- foot stepladder against the wall for access. He drilled a hole in the wall at least 14 feet high to locate the possible leak as indicated by the black mold on the wall. The employee later stated that, as he climbed up and down the ladder, he may have stepped on greasy material or a green waste that stuck to his shoes. The employee slipped from the ladder and fell, a fall height of 10 feet, striking the edge of the dumpster. The employee was transported to the hospital and admitted for treatment of lung injuries and fractured ribs that required surgery.",Medium,Falls,"blunt force trauma, climbing on ladder, construction, dumpster, fall"
"At 12:30 p.m. on December 28, 2020, Employee #1 and a coworker were installing precast planks on a new multifamily building on the second story. There was one plank left on the second story to install, and as the employees were preparing to install the plank, the structure caved into the first story and then collapsed to the lower level/basement which was ground level. The two employees working on the deck went down with the collapse from the second story deck. Employee #1 was hospitalized for three days to treat multiple injuries to the hand, wrist, and gluteus. The employees did not shore the beams that the planks rested on, causing the collapse.",Medium,Caught In Between,"beam, cave-in, collapse, fall, fall from elevation"
"At 11:30 a.m. on January 22, 2021, Employee #1, employed by an electrical contractor, was installing two LED light fixtures from the ceiling of an auto service shop. He was working from the bucket of a Versa Lift aerial lift that was mounted on the back of a bucket truck. The employee was not using any form of fall protection. As he leaned against the bucket door, the door opened, and he fell to the concrete floor, a fall height of 12 to 15 feet. The employee was transported to the hospital and admitted for treatment of an open fracture of the left thighbone with an extreme rotation at the knee, and a severe laceration to the top of his head.",Medium,Electrocution,"aerial lift, bucket, ceiling, construction, electrical"
"At 10:00 a.m. on January 15, 2021, Employee #1, employed by a concrete construction company, was working at the site of a new 47-story multifamily residential structure. He was moving a flying form on wheels when he was struck by a falling metal truss. The employee was transported to the hospital and admitted for treatment of multiple rib fractures.",Medium,Falls,"concrete form work, falling object, flying object, form work, fracture"
"At 2:00 p.m. on January 30, 2021, Employee #1, employed by an electrical contractor, was engaged in rehabilitation work for a commercial building. He was attempting to drive an aerial lift into the building using the building's ramp. The aerial lift became stuck on the ramp's ten percent incline, and Employee #1 asked a coworker to use an RT Forklift to push him up the incline. During this process, the forklift raised the aerial lift's rear off of the ramp's surface, and the aerial lift tipped over. The rails of the aerial lift folded up and struck the employee in the ribs. Employee #1 was pinned in the lift basket against a sea container. Employee #1 sustained contusions to the ribs but refused treatment when emergency medical services arrived.",Low,Electrocution,"aerial lift, basket, caught in, construction, contusion"
"At 9:15 a.m. on February 2, 2021, Employee #1 was engaged in rebuilding a clarifier at a waste water treatment plant. He was working from an extension ladder and attempting to hook up a choker to a crane in order to rig a needed part. The employee lost balance and fell, striking the concrete floor, a fall height of 9 feet. He was transported to the hospital and admitted for treatment of a fracture to his right leg.",Medium,Falls,"blunt force trauma, concrete, construction, crane, extension ladder"
"At 1:30 p.m. on January 5, 2021, Employee #1, employed by a roofing company, was installing a metal roof on a residence. A metal roof panel made contact with the overhead electric power line, and the employee sustained an electric shock. The employee fell from the roof, a fall height of approximately 31 feet. He was transported to the hospital, where he was admitted for treatment of injuries that included electric shock burns and back injuries.",Medium,Electrocution,"back, blunt force trauma, burn, contact, electric shock"
"At 12:00 p.m. on January 13, 2021, Employee #1, employed by an electrical contractor, was installing switch boxes to wire the apartments in a multifamily residential building that was being constructed. He walked into a room that looked clean and stepped over a nail on the floor. Later, upon arriving home, he noticed blood on his right foot, which he thought was due to dry skin. However, the nail apparently punctured the skin, and an infection developed. The employee was hospitalized on January 17, 2021, for treatment of the infection.",Medium,Electrocution,"electric switch, electrical, electrical box, foot, infection"
"At 8:30 a.m. on January 19, 2021, Employee #1, employed by an electrical contractor, was installing wiring for the fire alarm system of a nine-story office building. He was working from an 8-foot fiberglass stepladder and measuring the distance to the wall with his tape measure. The ladder kicked out, causing the employee to fall, a fall height of 4 feet. The employee was transported to the hospital and admitted for treatment of a compound fracture of his right tibia and fibula bones just above his right ankle.",Medium,Electrocution,"ankle, blunt force trauma, construction, electrical, electrical work"
"At 1:00 p.m. on January 7, 2021, Employee #1, employed by a drywall and insulation contractor, was installing insulation for a one-story residential structure. He was working from a scaffold when he stepped backward and fell, a fall height of 6 feet. The employee was transported to the hospital, admitted, and treated for a bruised kidney.",Medium,Falls,"blunt force trauma, contusion, fall, fall protection, installing"
"At 2:30 p.m. on January 6, 2021, Employee #1, employed by a remodeling company, was working on the renovation of a residential building. He was working from a small roof and installing the top trim to a window. As he stepped on the first rung of a 2-foot A-frame stepladder, he fell, a fall height of 11 feet. The employee was transported to the hospital, where he was admitted for treatment of a fractured pelvis.",Medium,Falls,"blunt force trauma, climbing on ladder, fall, fall protection, fracture"
"At 2:15 p.m. on January 29, 2021, Employee #1 and coworkers were unloading bundles of windows that had been moved by crane for a construction project. The rigging crew then removed the rigging from the load. As the crane began lifting the rigging away from the load, a rigging sling caught the corner of the load, causing the load to shift and strike against Employee #1. The employee was transported to the hospital and admitted for treatment of a fractured pelvis.",Medium,Struck By Object,"blunt force trauma, construction, crane, fracture, load line"
"At 11:45 a.m. on January 21, 2021, Employee #1 was working on the roof of a two-story residential building. He was installing an ice and water shield when he slipped and fell, a fall height of 20 feet, and impacted the frozen ground. The employee was transported to the hospital and admitted for treatment of a fractured leg.",Medium,Falls,"blunt force trauma, fall, fall protection, fracture, frozen"
"At 7:35 a.m. on January 14, 2021, Employee #1, employed by a concrete construction company, was working from an 8-foot Werner stepladder at a commercial building site. He was pulling down concrete formwork plywood from the ceiling level when an electric arc flash occurred at the electrical bus duct below the work area. The employee sustained arc flash burns to the lower legs, hands, and arms. He was transported to the hospital and admitted for treatment of the burns.",Medium,Electrocution,"arm, burn, concrete form work, construction, contact"
"At 3:30 p.m. on January 14, 2021, Employee #1 and a coworker, employed by a construction company, were working together to secure and tighten a form. While Employee #1 was using a pneumatic wrench, his thumb became caught between the form and the rod. The thumb was amputated. The employee was transported to the hospital for treatment of the amputation and released without hospitalization.",Low,Caught In Between,"amputated, amputation, caught between, construction, crushed"
"At 12:00 p.m. on January 22, 2021, Employee #1 and a coworker, employed by a construction company, were working on a road repair project. Employee #1 was watching as his coworker operated a front end loader to scrape frozen aggregate from a sidewalk. Thinking the loader had completed the scraping in that space, Employee #1 moved forward with a torch to melt the frozen aggregate that had been scraped. However, the loader operator moved the loader bucket to do a second scrape. Employee #1, who was wearing a hard hat, was struck in the head by the bucket. Employee #1 was transported to the hospital and admitted for treatment of a concussion and a strained neck.",Medium,Struck By Object,"blunt force trauma, concussion, construction, equipment operator, front end loader"
"At 10:21 a.m. on January 11, 2021, Employee #1, an elevator technician, was working in a building's elevator pit. He was installing new cables on service elevator number 3 while standing on a Werner ladder, Model No. D6224-3. The ladder was leaning against a metal screening in the hoist way. The employee, who was not using fall protection, fell from the ladder, hit his head on the counterweight assembly, and then struck his head against the concrete floor. The employee was transported to the hospital and admitted for treatment of a lacerations to his scalp and left shin, a rib fracture, and fractures to the spine.",Medium,Falls,"blunt force trauma, construction, elevator, fall, fall protection"
"At 2:30 p.m. on January 8, 2021, Employee #1, employed by a roofing contractor, was working on the metal roof of a commercial building. He was undoing screws on the roof when he stepped on a skylight and fell through it, striking the concrete surface, a fall height of 12 feet. The employee required hospitalization for treatment of a back sprain.",Medium,Falls,"back, concrete, construction, dismantling, fall"
"At 5:00 p.m. on January 5, 2021, Employee #1 and a coworker, employed by a construction contractor, were installing trusses for a new one-story commercial building. The trusses collapsed, later determined to have been caused by inadequate bracing. Employee #1, who was not using fall protection, fell and sustained head injuries and fractures to multiple fingers. Employee #1 required hospitalization for his injuries. The coworker, who was using fall protection, also fell. However, his fall was broken, and he was suspended from his lanyard.",Medium,Falls,"construction, fall, fall protection, finger, fracture"
"At 10:00 a.m. on January 14, 2021, Employee #1 was using a VE460 Roll Grooving Tool to groove a piece of 10 inches by 2 feet steel pipe. With his foot still on the activation pedal, he reached his hands into the machine to check the groove. He inadvertently pressed the foot pedal with his hands in the machine, and the fourth finger on his left hand was amputated. The employee received medical treatment for the amputation but was not hospitalized.",Low,Contact With Objects,"amputated, amputation, caught in, construction, finger"
"At 12:30 p.m. on January 15, 2021, Employee #1, a painter/laborer employed by a painting contractor, was working alone on a scaffold at a multifamily residential building. The scaffold was missing a plank, which for unknown reasons had been removed and placed upright on that level of the scaffold. The employee was masking a window when he fell through the opening created by the missing plank, a fall height of 11.5 feet. The employee was transported to the hospital and admitted for treatment of multiple fractured ribs.",Medium,Falls,"blunt force trauma, equipment failure, fall, fall protection, floor hole"
"At 11:00 a.m. on February 2, 2021, Employee #1, employed by an electrical contractor, was engaged in demolition work at a commercial building. He removed wiring conduit that ran from the disconnect to the high and low voltage panels that had been de-energized. Then he used a Milwaukee M12 600 Cable Cutter to cut the live wire, although he had not been instructed to do so. The employee also did not test the cable prior to cutting it, later stating that he had left his tester in his vehicle. The employee received flash burns on the backs of both hands and his face. He was transported to the hospital and admitted for treatment of the flash burns.",Medium,Electrocution,"burn, conduit, construction, cutting, demolition"
"At 12:00 p.m. on January 4, 2021, Employee #1 was working on the roof of a new residential structure. In an attempt to untangle his fall protection, he disconnected from it. The employee fell from roof, a fall height of 21 feet, and struck the frozen ground. He was transported to the hospital, admitted, and treated for a compound fracture to the right leg.",Medium,Falls,"blunt force trauma, entangled, fall, fall protection, fracture"
"At 12:00 p.m. on January 25, 2021, Employee #1, employed by a home builder, was installing sheathing to the roof of a new one-story residential structure. He fell from the the top of the exterior wall, a fall height of 9.5 feet The employee was transported to the hospital and admitted for treatment of fractures to multiple ribs and other bones.",Medium,Falls,"blunt force trauma, fall, fall protection, fracture, installing"
"At 4:15 p.m. on January 7, 2021, Employee #1 was engaged in site preparation for a new residential structure. He was carrying a manhole cover for pressure testing when he stepped into an open manhole and fell to the concrete surface below, a fall height of 12 feet. The employee was rescued from the manhole and transported to the hospital, where he was admitted for treatment of a fractured left leg and a fractured left heel.",Medium,Falls,"blunt force trauma, fall, fall protection, floor hole, foot"
