Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
It approximately  an employee placed wooden pellets on the loading dock camp in order to raise the traitor trailer to the level of the loading dock. The semi- truck backed into and struck the employee. The employee was killed from blunt force trauma.,High,Struck-by caused by Pinch Point Action,"CRUSHING, STRUCK BY, TRAILER TRUCK, BACKING UP, TRUCK",
"It  an employee driving a golf cart at the terminal yard, crossed an intervention and the employee was struck and killed by traitor trailer.",High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, MOTOR VEHICLE, GOLF CART",
It approximately  an employee died of unknown causes at work.,High,Caught in or between caused by Pinch Point Action,0,
"In , an employee was making a drain tile connection in a farm field when the east side wall of the excavation collapsed and the employee was killed.",High,Struck-by caused by Insufficient /Lack/Protective Work Clothing/Equipment,"TRENCH, COLLAPSE",
It  an employee was pulling a sundry bin cart with small tree branches in the parking lot. Employee collapsed on ground and died of cardiac arrest.,High,Card-vascular/resp. fail. caused by Medical Emergency,"CARDIAC ARREST, HEART ATTACK",
"It approximately  an employee was checking in a semi-trailer truck that was driven into the yard for storage. The truck was stopped and the employee was noting truck numbers.	The employee was on the right side, (passenger's side, of the vehicle when the driver returned to the truck and drove off. The employee's head and body were caught under the right rear wheels and were run over.",High,Struck-by caused by Illumination,"TRAILER, RUN OVER, CAUGHT BY, TRUCK",
"It approximately  an employee was installing wooden stake into ground for concrete form board with sledgehammer. The employee was later found underwater, drowned.",High,Card-vascular/resp. fail. caused by Work-Surface/Facility-Layout Condition,DROWN,
It approximately  an employee was dead-ending new power transmission lines. The passenger side of the bucket truck's trigger failed. The basket of the bucket truck fell striking the ground and the employee was killed.,High,Fall (from elevation) caused by Defective Equipment In Use,"TRUCK, OUTRIGGER, POWER LINES, EQUIPMENT FAILURE, EJECTED, AERIAL LIFT, CONSTRUCTION, WORK PLATFORM, FALLING OBJECT",
It approximately  an employee was operating the hydraulic tongs from the fig floor. Two workers opposite him on the fig floor had watched the elevators around a joint of flush causing with rubbing on top. The fig operator began lifting the causing when it detached from the rubbing and came out of the elevators and struck the employee operating the tongs. The employee was hit on the head and shoulders by the 5.5 inch well causing. The employee suffered from broken bones and internal bleeding in the head and neck area was killed.,High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, WELL, OIL WELL DRILLING/SERVICING, NECK, HEAD",
"In , an employee fell from a roof while breathing roof tresses, and was killed.",High,Fall (from elevation) caused by Insufficient /Lack/Protective Work Clothing/Equipment,"FALL, ROOF",
"It approximately  an employee was operating the compact and spraying water on the fill dirt in the foundation area. Later, the employee was found dead and buried by the fill dirt outside of the foundation area.",High,Workplace incident caused by Hazardous Work Condition,"ASPHYXIATED, EXCAVATION, CONSTRUCTION, BURIED",
"It  Employee was standing on the production floor talking to another employee. When the other employee had left, and then turned around, he saw that the employee was on the ground. Cause of death was not reported.",High,Workplace incident caused by Hazardous Work Condition,COLLAPSE,
It  an employee was walking behind a moving payloader. The employee was struck by the payloader and the employee was killed.,High,Struck-by caused by Mobile Equipment Operation,STRUCK BY,
"It approximately  an employee was sitting down on a metal bleached step in front of Line To. 1 of Filter. There were eight manhatches along Line To 1 of Filter pressure vessel. The third door, which measured 24-in. diameter, from the right side blew out. The employee was struck and was found on the floor below.",High,Struck-by caused by Overpressure/Underpressure,"STRUCK BY, EXPLOSION",
"It approximately  an employee was looking chains to mud pump from a gin pole truck that was backing into position. The gin pole truck struck and caught the employee in between the truck and mud pump. The employees sternum was fractured, killing the employee.",High,Caught in or between caused by Materials Handling Equip./Method,"STRUCK BY, OIL WELL DRILLING, INDUSTRIAL TRUCK, GIN POLE, FRACTURE, CRUSHED, CHEST, CAUGHT BETWEEN, BACK-UP ALARM, TRUCK",
It  an employee was on top of a walk-in cooper and fell through the ceiling. The employee sustained head trauma and was killed in the fall.,High,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","CEILING, HEAD, FALL, ELEVATED WORK PLATFORM",
It  an employee and a worker were jumping liquid manure from a manure pit to a banker trailer at a clients farm. There was a problem with a pin that gave the liquid level within the tank and it was located on the top of the trailer. The employee had climbed to the top of the banker trailer to conduct a visible check on the liquid level. He slipped off the trailer and fell to the ground at the rear of the trailer. His worker found the employee on the ground when he came around the trailer. The employee suffered head and neck injuries and later died from his injuries. and later died from his injuries.,High,Fall (from elevation) caused by Safety Devices Removed/Inoperable,"TRAILER TRUCK, FALL, HEAD, NECK, LOST BALANCE",
It  an employee was walking towards or away from a truck. The employee collapsed from a heart attack. Emergency services responded but the employee could not be revived.,High,Struck-by caused by Mobile Equipment Operation,"CARDIAC ARREST, HEART ATTACK",
"It  an employee was planning some conduct routine when he tripped over an protected edge and fell to the floor, striking his head as he fell. The employee had a head injury and multiple body injuries.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"TRIPPED, FALL, HEAD",
"It  an employee was painting a valve located approximately 4 inches from floor. The poly tuning came undone and water from the seal-leg dropped, dropping pressure and releasing chlorine gas. The employee inhaled chlorine gas and was hospitalized.",Medium,Inhalation caused by Gas/Vapor/Mist/Fume/Smoke/Dust,"CHLORINE, INHALATION",
It  an employee was assisting in assembling a BOP. Was fumes united resulting in burns to the employee.,Medium,Struck-by caused by Gas/Vapor/Mist/Fume/Smoke/Dust,"BURN, FIRE, OIL WELL DRILLING/SERVICING",
"It  an employee was removing some securement equipment when they were struck by approximately 21,000 les of glass. The employee was killed from blunt force trauma injuries and laceration.",High,Struck against caused by Materials Handling Equip./Method,"STRUCK BY, FALLING OBJECT, LACERATION",
"It  an employee was in a trench cleaning up his tools and equipment.The trench collapsed tapping him against the opposite side, resulting in death due to crushing injury to the chest area. resulting in death due to crushing injury to the chest area.area.",High,Caught in or between caused by Pinch Point Action,"TRENCH, CRUSHED, COLLAPSE",
"It  an employee was replacing a pin connecting the hydraulic cylinder to the front end leader bucket. When the pin was knocked out, the bucket slipped, striking and killing the employee. The employee had laceration of arm, fractured ribs and pelvis.",Low,Struck-by caused by Materials Handling Equip./Method,"PELVIS, LACERATION, HYDRAULIC CYLINDER, LOCKOUT/TAGOUT, STRUCK BY, ARM, KICK BACK, FRONT END LOADER, FRACTURE, RIB",
"It  an employee was painting window trim. The ladder shifted, resulting in the employee falling. The 36-ft Corner fiberglass extension ladder was extended to approximately 24 ft 3 in.  The height on the have to driveway was approximately 23 feet 8 inches and the ladder was placed right under the have. The employee died from a broken neck and head fracture(s).",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, RESIDENTIAL CONSTRUCTION, LADDER",
"It  an employee was using a shop-sac to remove caustic liquid pillage from one machine to dump in a retention pit. The chemical sodium hydroxide ""eye"" spilled on the employee causing chemical burns to his left leg. The employee was not wearing PPE.",Medium,Burn caused by Temperature +/- Tolerance Lev.,"SODIUM HYDROXIDE, CHEMICAL, CAUSTIC, BURN",
It  an employee was sitting at their desk and was found unconscious.,High,Workplace incident caused by Hazardous Work Condition,"CARDIAC ARREST, HEART ATTACK",
It  an employee was abolishing an area beside a white cabinet used for storage. The employee had been abolishing granite with a Hercules of Met Dear Exhaust Air Polished with Sector (of) Abolishing Had. The polished was connected to a water those and there was not a trap or drainage ditch to remove access water. The production manager found the employee laying on the ground. The employee was killed from a fall.,High,Struck-by caused by Materials Handling Equip./Method,"WATER, FALL",
It  two employees were working inside a boiler / incinerator removing build up when hot material fell on both of them. They were both wearing full face respiratory and suits. The media stated that one employee received possible third degree burns over 80% of his body.,Medium,Burn caused by Temperature +/- Tolerance Lev.,"STRUCK BY, BOILER, BURN, FALLING OBJECT",
It  an employee was working on a vehicle in an auto parts store when it went off balance and fell on top of the employee. He suffered blunt force trauma to their tarso and suffocated. The employee was killed.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"CRUSHING, VEHICLE, JACK, FALLING OBJECT, STRUCK BY",
It  an Employee was erecting an electrical pole with a light fixture. The light fixture fell on employee and the employee was killed.,High,Struck-by caused by Work-Surface/Facility-Layout Condition,"STRUCK BY, FALLING OBJECT",
"It  an employee was working in a data command center, answering calls and monitoring alarms on equipment. The employee received an alarm and went to check on its location. Other workers were unaware that the employee had responded to the alarm and was later found in a rest room, responsive. The Medical Examiner stated that the employee suffered a heart attack.",High,Caught in or between caused by Machinery Operation,"CARDIAC ARREST, HEART ATTACK",
"It approximately  Employee, an employee/contractor driver was delivering bundles of put piping to a city storage yard. Employee, a 24 year old truck driver, met with another worker, an operator to unload the pipe from the trailer. The worker had unloaded the back end of the trailer and began unloading the front stage of piping on the passenger's side of the trailer. Employee, the driver, was observed at the front of the truck, as the lift began. During the lift, the piping the shifted, bumping the other bundles of pipes stacked on the left/drivers side of the truck bed. The entire load shifted and the piping broke away striking and pinning the employee/driver underneath the load. The worker was unaware that the driver was struck by the load until the worker crossed the rear of the truck finding the driver under the load. The worker lifted the piping off of the truck driver and called 911. Employee was unconscious and bleeding from his head. The employee was transported to the hospital and pronounced dead.",High,Struck-by caused by Materials Handling Equip./Method,"PIPE, TRAILER, FALLING OBJECT",
"It  an employee was removing and relating a window frame. While trying to remove some screws, he fell and landed on the concrete slab at the bottom floor. The employee died from severe head and other body trauma. y trauma.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"ELEVATED WORK PLATFORM, FALL",
It  an employee was removing a horizontal window frame. The employee slipped off the scaffold and fell 28 feet to the concrete slab below. The employee was killed.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"ELEVATED WORK PLATFORM, FALL, SCAFFOLD, HEAD",
It  an employee was removing a horizontal window frame. The employee slipped off the scaffold and fell 28 feet to the concrete slab below. The employee was killed.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"SLIP, HEAD, FALL, SCAFFOLD",
It  an employee was standing in a bucket of a bucket truck sawing a limb off a tree about 55 feet above the ground. The limb was tied to the front of the bucket truck and around a tree crutch. The limb split off and fell onto the bucket before dropping over the right side of the truck boom. It pulled the bucket down and catapulted the employee from the bucket. The employee was not wearing fall protection. The employee was killed,High,Fall (from elevation) caused by Overhead Moving/Falling Object Action,"TREE TRIMMING, FALL PROTECTION, TREE LIMB, FALL",
"It  an employee was pulling a rounding wire through an exterior wall into the service entrance section of energies facility switchgear. The employee contracted an energies bus bar in switchgear, and was killed.",High,Shock caused by Insufficient /Lack/Protective Work Clothing/Equipment,"ELECTRICAL, LOCKOUT/TAGOUT",
"It  an employee was loading equipment onto a landscaping trailer in the roadway. Based on the accident report, a vehicle struck another vehicle, which then struck the landscaping trailer and employee, killing the employee.",High,"Struck-by caused by Weather, Earthquake, Etc.","CRUSHING, STRUCK BY, MOTOR VEHICLE",
"It  an employee was operating a Komatsu forklift (Model Number: MDLFG15HT-16 Aerial Number: 652731) and was traveling in reverse on a paved road. The forklift truck was coming around the approximate 33.5 foot radius corner at approximately 10 - 15 degree slope. It appears that the forklift turned over as it traveled partially off the road on the right side, in the northerly direction going down the grade in reverse. Is the forklift tapped over, the employee was found crushed between the ROPS of the forklift and the pavement. The employee was pronounced dead at the scene of the accident.",High,"Struck-by caused by Misjudgment, Hazardous Situation","OVERTURN, ROPS, POWERED INDUSTRIAL VEHICLE, CRUSHING, RIDING ON EQUIPMENT",
It  Employee was performing duties as a flagged on the south side of the road construction project along Highway 281. The construction company was contracted with the County to build up and repair the shoulders of the highway. A vehicle driving at what appeared to be normal highway speed approached the construction zone (60 MPH was posted). Without slowing down and closing on the flagged position the vehicle veered slightly off the passenger side of the road and struck the flagged who was position on the shoulder of the road and out of the normal traffic flow. The employee was thrown from the point of impact approximately 140 feet and coming to rest approximately 12 feet from the road surface on the shoulder. The employer called 911 and the employee received initial treatment from a company first responded (who is part of a local volunteer fire department); until local emergency squad arrived. The employee was killed from her injuries. e employee was killed from her injuries.The employee was killed from her injuries.,Medium,Struck-by caused by Work-Surface/Facility-Layout Condition,"STRUCK BY, MOTOR VEHICLE, FLAGGER",
It  an employee was sweeping trash from around a 7-yard dumpster when he was struck by it. The employee was taken to the hospital and had several fractures to his lower body. He died later while at the hospital.,High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, DUMPSTER, CRUSHED",
"It approximately 1:30 of on , an employee was laying concrete over rear when an intoxicated driver, who was driving on the wrong side of the street hoped a median, drove through the work zone, and struck the employee. The employee was killed",High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, INTOXICATED, RUN OVER, MOTOR VEHICLE",
It  an employee performing spray operations on an incline in a golf course with a John Were 2020A pronator with John Were HD300 (300 gallon capacity) Prayer to apply a chemical to make the surface green. The traitor turned over on the incline and its follower protection cage was found resting on the employees head.,High,Inhalation caused by Chemical Action/Reaction Expos,"OVERTURN, ROLL-OVER, HEAD, STRUCK BY, CRUSHED",
It  an employee was attaching a deck to an elevated home when the deck collapsed while the employee was underneath. The employee was killed,High,Caught in or between caused by Overhead Moving/Falling Object Action,"STRUCTURAL COLLAPSE, DECKING, RESIDENTIAL CONSTRUCTION, STRUCK BY",
It  an employee was feeding boards into an edges machine when a board threw itself from it and stabbed the employees head. The employee was killed.,High,Struck-by caused by Flying Object Action,"STRUCK BY, EDGER, HEAD, IMPALED",
It  an employee was found responsive in a break room with the door locked from the inside. To visible causes were apparent.,High,Workplace incident caused by Hazardous Work Condition,"HEART ATTACK, HEART",
"It approximately  an employee was installing doing tile while working on tubular welded scaffolding. Is the employee was kneeling down onto the scaffold working level, he grabbed onto a midrailing that popped off of the horizontal support and locking pin mechanism. The employee lost his balance and fell 7-feet onto a concrete land below striking the edge of the land. The employee was killed.",Medium,Struck-by caused by Materials Handling Equip./Method,"FALL, LOST BALANCE, SCAFFOLD",
"It  an employee was leaning on the top rail across an interior second story balcony opening. The employee lost his balance and fell to the concrete floor approximately 10 feet below when one end of the railing gave way, striking their head on the floor. The employee was killed.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STRUCTURAL COLLAPSE, FALL, LOST CONTROL, HEAD",
It  an employee was loading a banker truck with oil and found responsive by a worker.,High,Struck-by caused by Mobile Equipment Operation,"TANK TRUCK, HEART, HEART ATTACK",
It approximately  Employee was working on a power box. The employee was struck by a vehicle and killed.,High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, MOTOR VEHICLE, VEHICLE, ELECTRICIAN",
"In , Employee, an MTE, was part of a four man crew trouble shooting an electrical issue on a EOT crane 501 in the slab storage yard. Employee was found dead after being electrocuted when he came into contact with the collector rail (480 vols).",High,"Shock caused by Weather, Earthquake, Etc.","SHOCK, CRANE, ELECTROCUTED",
"It  an employee finished covering a mileage pile and was walking down the pile and either struck their head on the stairs of the front end leader, the front bucket, or in the process of getting a ride on the equipment and was killed.",High,Struck against caused by Materials Handling Equip./Method,"STRUCK AGAINST, LOADER, FARM MACHINERY, AGRICULTURE MACHINERY/VEHICLE",
"It approximately  while turning trees and removing weeds, an employee died after being stung by a was on the throat, causing swelling and asphyxiation.",High,Struck-by caused by Insufficient /Lack/Engineering Controls,"ASPHYXIATED, BEE STING",
It  an employee was run over by a traitor (truck) while working in the maintenance bay area. The employee sustained trauma to the body and was killed.,High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, RUN OVER, TRACTOR--TRUCK",
It approximately  Employee was part of a crew demolishing a wooden staircase. A structure which allowed the staircase to support a 5 foot tall concrete retaining wall had been removed. The concrete wall became unstable and an approximately 29 foot section collapsed. Employee was partially wrapped underneath the wall and suffered fractured ribs and pelvis and died from asphyxiation.,High,Card-vascular/resp. fail. caused by Medical Emergency,"PELVIS, CRUSHING, STRUCK BY, COLLAPSE, FRACTURE, RESIDENTIAL CONSTRUCTION, MASONRY WALL, DEMOLITION, ASPHYXIATED, RIB",
"It  the company owner was operating a CAT 323FL trackhoe.  They reached a point where Employee entered the excavation to locate a water valve that they were going to tie into. A small collapse happened and buried Employee to his knees. It this point Employee and Employee entered the excavation to dig Employee out. Right then a second collapse happened and buried Employee to mid-stomach and Employee to mid-chest. More crew members ran over and started digging the employees out. Employee died before he was rescued, Employee was rescued and taken to the hospital. Employee was able to dig himself out and did not need any medical attention. The dirt was quite wet and saturated. The excavation at the time of the inspection measured 22' x 16'. French box and ladder were on site but not used at the time of the accident. not used at the time of the accident.",High,Card-vascular/resp. fail. caused by Medical Emergency,"TRENCH, BACKHOE, EXCAVATION, COLLAPSE, TRENCH BOX, ASPHYXIATED",
"It approximately  Employee was standing on a trailer removing pellets that were stacked 40 to 60 inches high. The pellets shifted, causing Employee to fall backwards and land on the shalt. Employee was killed.",High,Fall (from elevation) caused by Overhead Moving/Falling Object Action,"STRUCK AGAINST, TRAILER, LOST BALANCE, FALL",
"It approximately  Employee, was checking the ligament of a dumpster with a compact. His head was between the dumpster and compact when a worker released the cable attached to the dumpster. Employee was killed when the dumpster struck his head and crushed him between the dumpster and compact.",High,Caught in or between caused by Materials Handling Equip./Method,"CAUGHT IN, HEAD, CAUGHT BETWEEN, CRUSHING, STRUCK BY",
"It  an employee was picking up and moving farm field storage notes/bind. While lifting a tall stick of 9 bind with a farm field traitor with a set of forks and no overhead guard, the top 3 bind fell and struck the employee operating the traitor. The employee sustained various internal and external injuries from being struck by bind, and was killed. The wooden apple notes weighed approximately 160 pounds each. pounds each.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, FALLING OBJECT, PERSONNEL CAGE, POWERED INDUSTRIAL VEHICLE, MATERIAL HANDLING, AGRICULTURE",
"It  an employee was helping load a 41 foot 3,000 pound potato conveyed/table onto a semi trailer. The employee was securing equipment to the trailer when it fell crushing the employee's abdomen. The worker was killed from abdominal crushing injury.",High,Struck-by caused by Overhead Moving/Falling Object Action,"ABDOMEN, TRAILER, CRUSHED, FALLING OBJECT, CONVEYOR",
"It  an employee was assisting in the clean up from a days work of strawberry picking. After gathering plastic from the fields and placing a large those in the back of a truck bed, the employee closed the truck's lift gate. During closing of the gate, he inadvertently placed his left index finger in between the bed of the truck and the lift gate, amputating his finger.",Medium,Caught in or between caused by Pinch Point Action,"PINNED, TAILGATE, AMPUTATION, FINGER",
"It  an employee was attempting to back out a Caterpillar wheeled excavation out from a maintenance garage bay when he apparently caught his head between the stationary garage overhead door structure and the wheeled excavation he was operating. Preliminary witness statements indicate that it appears the employee was attempting to stop an outside mirror from striking the garage bay door when the vehicle continued to move to the exterior, pinning him between the garage bay door structure and the cab of the excavation. The employee was killed from massive head trauma.",High,"Caught in or between caused by Misjudgment, Hazardous Situation","CAUGHT IN, STRUCK BY, CRUSHING, CONSTRUCTION VEHICLE, RIDING ON EQUIPMENT, HEAD",
It approximately  Employee was removing connecting pins from a crane boom. The boom fell and struck Employee who received crushing injuries and multiple trauma and was killed.,High,Struck-by caused by Overhead Moving/Falling Object Action,"CRUSHING, CRANE, STRUCK BY, CRANE BOOM, FALLING OBJECT, CRUSHED",
"It approximately  Employee was walking from a vineyards when he tried to jump onto the side step of a trailer being pulled by a farm traitor. The trailer hit a bump and Employee lost his balance and fell off the trailer. The trailer then ran over his right leg. Employee was hospitalized with a smashed leg, bruises and scraped.",Low,"Fall (same level) caused by Misjudgment, Hazardous Situation","STRUCK BY, AGRICULTURE MACHINERY/VEHICLE, LOST BALANCE, RUN OVER, CRUSHED",
"It approximately  Employee was preparing a 300 pound concrete column form and stepped inside it to modify it. The column fell over, struck Employee who then struck his head on the concrete surface. Employee fractured his head and was killed.",High,Struck against caused by Materials Handling Equip./Method,"STRUCK BY, FALL, CRUSHED, FALLING OBJECT, HEAD, MATERIAL HANDLING, FRACTURE",
It  an employee was standing close to the rear end drive differential tires for the drum de-barker. The employee was caught in between the frame and tires of the rear end drive differential tires. The employee sustained injuries to the abdomen and head and was killed,High,Caught in or between caused by Pinch Point Action,"CAUGHT IN, WHEEL, CAUGHT BETWEEN",
It  an employee was riding on the flashed of a 1 ton truck which was being pushed along by a traitor in a hop field. The employee fell off the flashed and was crushed by the rear wheels of the truck. The employee was killed from broken ribs and a crushed sternum.,High,Struck-by caused by Insufficient /Lack/Engineering Controls,"RIB, TRACTOR, FALL, RUN OVER, CRUSHED, TIRE",
"It  an employee mowing the lawn started feeling ill, so he stopped the lawnmower next to a drinking fountain and collapsed. In  the employee passed away due to a brain aneurysm. According to our medical unit, the cause of the illness was a sudden haemorrhagic stroke.",High,Card-vascular/resp. fail. caused by Medical Emergency,ANEURISM,
It approximately  Employee was monitoring a building evacuation due to a gas leak. The building exploded and Employee was struck by looking debris and killed.,High,Fall (from elevation) caused by Roof Work Hazard,"STRUCK BY, GAS LEAK, GAS, COLLAPSE, CRUSHED",
It  two employees were taking a loaded potato truck from the field to the office. The gravel road from the field crossed diagonal over an uncontrolled railway. The truck was struck by a fright train while crossing the railway and Employee (driver) was killed. Employee was a passenger in the truck and was taken to a hospital with serious injuries.,High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, TRAIN, TRUCK DRIVER",
"It  Employee and Worker #1, employed by an electrical services company, were working at a job site. Employee, an apprentice electricity, was standing on a ladder on one side of a wall and Worker #1, a journeyman electricity, was standing on the other side of the wall. Worker #1 was feeding mule tape through a conduct, and Employee was pulling on the tape. When the tension halted on the tape he was pulling, Employee fell backwards off the ladder and landed in a standing position. Emergency services were called, and Employee was transported to the hospital. He was admitted and treated for fractures to both heels.",Medium,Fall (from elevation) caused by Ladder Failure/Slip,"CONSTRUCTION, FRACTURE, INSTALLING, LADDER, FOOT, FALL, ELECTRICAL WORK, FALL PROTECTION, ELECTRICIAN",
"It  employee was cutting a pine tree when it fell into another standing timber, breaking off it's top which fell on the employee. The employee was killed.",High,Struck-by caused by Flying Object Action,"STRUCK BY, TREE FELLING",
"In , an employee was operating the north leg of a grain elevator. Brain was being emptied from a semi-trailer into the north pit and then being sent to the wet holding bin when a grain explosion occurred. The employee received burns to his body resulting in his death.",High,Explosion caused by Fire/Heat Source,"BURN, COMBUSTIBLE DUST, GRAIN ELEVATOR, GRAIN DUST, EXPLOSION",
"It  and employee was standing in a window opening (which had x 4 boards-guardrails across the opening). Apparently the employee was straggling the lower board with his upper body outside the upper board. There were no eyewitnesses, however, it appears that the employee lost his balance and fell. The employee was killed from traumatic blunt force injuries to multiple body parts (head, arms, chest, legs).",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, GUARDRAIL",
"It approximately  Employee was working on a fluorescent light fixture. The power source was not locked out, and Employee was electrocuted and killed when he touched a live wire.",High,"Shock caused by Misjudgment, Hazardous Situation","ELECTRICAL, ELECTROCUTED",
It approximately  Employee had finished unloading a trailer full of trash when he was run over by a leader and killed. killed.,High,Caught in or between caused by Materials Handling Equip./Method,"STRUCK BY, LOADER, CRUSHED, RUN OVER",
It approximately  Employee fell from a roof and was killed.,High,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","FALL, ROOF",
"It  an employee was loading his personal tool box onto his personal tow truck. While loading his large tool box onto the truck, he was being assisted by his girlfriend. After the tool box was wrenched to the front of the truck bed, it began to slip when the employee was attempting to strap it down. He went to the driver side of the truck after his girlfriend asked for help to keep it from falling. The toolbox fell off the truck onto him. The employee was killed from fractured ribs, vertebrae, skull, and asphyxiation.",High,Struck-by caused by Materials Handling Equip./Method,"CRUSHING, STRUCK BY, ASPHYXIATED, FALLING OBJECT",
It approximately  Employee was operating a traitor trading a road near an edge. The traitor tapped over the edge and Employee was crushed and killed.,High,Caught in or between caused by Work-Surface/Facility-Layout Condition,"CRUSHING, ROLL-OVER, ROLLER--CONST EQUIP, TRACTOR",
It  a project manager employee died from a heart attack.,High,Card-vascular/resp. fail. caused by Medical Emergency,"CARDIOVASC SYSTEM, HEART, HEART ATTACK",
"It  an on-track safety crew member was appearing to direct traffic near turn 2 on the racetrack while under a caution flag during a race. While the single-file cars were making the turn, one jumped out of line and struck the employee. The employee was killed from massive trauma/injury to head and body system.",High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, MOTOR VEHICLE",
"It approximately  Employee was being driven to the reporting office by a worker after work was finished. The worker noticed Employee responsive and drove him to a hospital where he was found to be in a coma, possibly due to heat stress.",High,Heat exposure caused by Environmental Condition,HEAT STROKE,
It  an employee was instructing the bache operator when he was struck between the bucket and trigger. The employee was killed from a head injury.,High,Caught in or between caused by Materials Handling Equip./Method,"STRUCK BY, BACKHOE, HEAD",
It  a store cashier was killed during an armed robbery.,High,Workplace incident caused by Hazardous Work Condition,"WORKPLACE VIOLENCE, GUNSHOT",
It approximately  Employee was struck by the body of a crane which pushed him through a guardrail. Employee suffered internal injuries and was killed.,High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, FALL, GUARDRAIL, ELEVATED WORK PLATFORM",
"In , an employee returning from break collapsed in halfway suffered a heart attack and died.",High,Card-vascular/resp. fail. caused by Medical Emergency,HEART ATTACK,
"It  an employee helping to load a barge was struck by a falling forklift blade. The employee was holding a piece of cardboard so that rolls of metal coils would not touch the wall of the barge. The forklift lifted a roll of metal coil approximately 10 feet high onto another metal coil. Is the forklift was backing up to adjust the forks to the center in the coils, one of the forklift blades fell off and hit the employee on the head and was killed.",High,Struck-by caused by Overhead Moving/Falling Object Action,"STRUCK BY, FALLING OBJECT, BARGE, LOADING",
"It  an employee was trying to access the roof of a vacant building to take asbestos samples. The employee fell from the ladder to the ground, and was killed by head trauma.",High,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","FALL, LADDER, HEAD, ROOF",
"It  an employee, 54 year old superintendent went to the job site to drop off tools/materials. The employee and another worker (job foreman) loaded materials into the job made box, the foreman using a power industrial vehicle (PIV) raised the box to the rd floor where the employee was located to retrieve tools/materials from the box. It some point the employee climbed under and/or through the wire rope parameter cable and stepped into the box to retrieve the rest of the tools/materials that could not be reached from the rd floor unit. Once he stepped into the box it because unstable, and with the employee inside the box, it fell approve. 27 feet to the ground. The box was not secured to the forks of the truck and was constructed using a 9x pallet and 3 pieces of ? plood for the sides and back and 2 screws. The employee was killed from multiple injuries. from multiple injuries.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, POWERED INDUSTRIAL VEHICLE, FALLING OBJECT, FALL PROTECTION",
It  an employee was working as a cashier at a food mary and was shot during a robbery. The robber shot thou a bullet proof glass killing the employee.,High,Burn caused by Temperature +/- Tolerance Lev.,"WORKPLACE VIOLENCE, GUNSHOT",
"It  an employee, pest control technical was setting traps to remove rodent from crawl space of attic. The employee was found responsive in the crawl space of an attic inside of an occupied professional office building. According to local news reports, the coroner's office said the employee died from a ""fracture of the neck due to blunt force injury to the head due to a fall."" The final topsy report confirmed this initial report.",High,Fall (same level) caused by Work-Surface/Facility-Layout Condition,"FALL, NECK, FRACTURE",
"It  an employee headed to his dump truck to retrieve his lunch. When he opened the cab door on the driver side and reached for his lunch, the truck began to roll forward. The truck was stopped by a fire tyrant that pinned the employee in between the open driver's side door and the cab's door frame. He suffered injuries to his chest, abdomen and back, which he was hospitalized.",Medium,Heat exposure caused by Environmental Condition,"PINNED, BRAKE, DUMP TRUCK, MOTOR VEHICLE, CRUSHED",
It approximately  Employee was operating a log leader when it went over a steep hill. The leader rolled several times and came to rest upside down 380 foot below. Employee was ejected from the roller found dead. He was not wearing a seat belt.,High,Strain caused by Materials Handling Procedure,"STRUCK BY, VEHICLE, LOADER, ROLL-OVER, CRUSHED",
"In , Employee, a senior cuba river, was participating in a dive training operation. The employee was an observation member of a 3 person dive team. The diving recruit and other senior river were swimming ahead of him in the dive. The employee did not exit the water with the rest of his dive team at the end of their dive. Employee was later found drowned. later found drowned.",High,Workplace incident caused by Hazardous Work Condition,"SCUBA, WATER, DIVER, DROWN, DIVING",
It  an employee fell over while on a upright talloscope (scaffold/ladder) while changing a chandelier light bulb at approximately 25-30 feet above the floor level in main the sanctuary. The employee struck benches and sustained trauma to the head and body. The employee was killed from the fall.,High,Fall (from elevation) caused by Safety Devices Removed/Inoperable,"FALL, FALL PROTECTION, SCAFFOLD",
