Obs,TYPE,RECORDID,STATE,AGE,GENDER,RACE,FB,OCCUP,NOI,POB,SOI,EOE,ACTIVITY,LOCATION,INDUSTRY,ES,TEIB,SIZE,TotTime,NOWOIS,NOWIIE,OWNER,WSE,EWAOH,SI,WSP,PJT,AFS,Training,INJURY_DATE,INJURY_MONTH,INJURY_YEAR,Fall_Feet,PFAS_Rec,Region,fall,R11,R12,R13,R14,R15,R16,R19,R21,R22,R23,R24,R25,R29,R31,R32,R33,R34,R35,R39,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R59,R999,PPE,PFASR,Equipment,Organizational,Violations,Occupation_Mapped,Nature of Injury_Mapped,Part of Body_Mapped,Source of Injury_Mapped,Work Activity_Mapped,Industry Type_Mapped
395,S,1996CA003,CA,43,1,7,3,558,80,8,3437,221,150,65,1622,1,15.00,177,944.00,8,0,6,3,3,1,3,1,3,2,29,2,1996,.,.,West,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Concussion,Multiple Parts,Barrel,HVAC,Assembly
396,S,1996CA00601,CA,25,1,7,3,558,93,5,4415,313,219,13,1781,1,11.00,3,730.50,2,0,6,1,3,3,3,1,3,1,8,4,1996,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,Landscaper,Seizure,Toe,Vehicle,Receiving,Finance
397,S,1996CA00602,CA,47,1,7,3,598,93,5,4415,313,560,13,1781,1,11.00,3,213.50,2,0,6,1,3,3,3,1,3,1,8,4,1996,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,File Clerk,Seizure,Toe,Vehicle,Other Medical,Finance
398,S,1996CA007,CA,27,1,7,3,869,91,5,6271,41,592,10,9999,1,16.00,7,91.50,2,0,6,2,3,3,2,2,2,1,11,4,1996,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Heart Attack,Toe,Radiation,Security,Unknown
399,S,1996CA008,CA,30,1,7,3,783,86,8,4133,21,632,48,1791,1,14.00,64,639.75,3,0,6,3,3,3,1,1,2,1,28,5,1996,.,.,West,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Medical Assistant,Poisoning,Multiple Parts,Escalator,Serving,Insurance
400,S,1996CA011,CA,46,1,7,3,853,80,8,3211,4232,215,98,1629,1,7.00,7,365.25,13,0,6,1,3,1,3,3,3,2,8,8,1996,.,.,West,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,Pharmacist,Concussion,Multiple Parts,Power Tool,Packaging,Other Manufacturing
401,S,1996CA012,CA,41,1,7,3,804,86,8,8252,433,321,47,4213,2,.,1,.,4,0,6,3,3,1,3,3,3,1,5,8,1996,.,.,West,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,Nurse,Poisoning,Multiple Parts,Wall,Supervision,Investment
402,S,1996CA013,CA,32,1,7,3,554,34,10,7224,23,232,10,1751,2,.,.,.,2,0,6,2,3,3,3,3,2,2,26,9,1996,.,.,West,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Janitor,Puncture,Neck,Natural Disaster,Repair,Healthcare
403,S,1996CA014,CA,40,1,7,3,557,93,5,7299,311,312,14,1711,2,20.00,1,7305.00,1,0,6,2,2,3,2,3,2,2,1,10,1996,.,.,West,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Gardener,Seizure,Toe,Other Cause,Clerical,Retail
404,S,1996CA015,CA,34,1,7,3,576,60,10,6221,113,313,77,1731,1,6.00,18,1095.75,3,0,6,2,3,1,1,1,3,1,9,10,1996,25,0,West,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Packager,Amputation,Neck,Gas,Data Entry,Food Service
405,S,1996IA003,IA,43,1,7,3,783,84,8,624,119,260,47,1791,1,30.00,100,1461.00,2,0,6,1,2,3,1,1,3,1,.,2,1996,190,1,Midwest,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Medical Assistant,Asphyxia,Multiple Parts,Liquid,Quality Control,Insurance
406,S,1996IA008,IA,26,1,7,3,843,94,220,3221,32,313,14,1522,1,30.00,40,2556.75,2,0,6,2,3,3,2,1,2,1,.,.,1996,.,.,Midwest,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Doctor,Other,Torso,Hammer,Data Entry,Demolition
407,S,1996IA055,IA,35,1,7,3,869,31,8,3251,433,133,65,1611,1,50.00,450,4.00,9,0,6,3,1,3,1,1,3,1,.,8,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,Manager,Cut/Laceration,Multiple Parts,Board,Plumbing,Manufacturing
408,S,1996IA061,IA,51,1,7,3,473,94,220,3223,32,632,14,291,2,.,3,.,3,1,6,2,2,3,2,2,2,1,.,.,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Heavy Equipment Operator,Other,Torso,Wrench,Serving,Agriculture
409,S,1996IA065,IA,57,1,7,3,599,60,10,6279,1124,634,48,1799,1,1.50,15,8766.00,4,0,6,2,3,3,3,1,2,1,.,.,1996,16,0,Midwest,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,Records Clerk,Amputation,Neck,Other Radiation,Other Food,Miscellaneous
410,S,1996IA067,IA,20,1,7,3,653,18,10,6221,1152,633,47,1541,1,23.00,6,548.25,6,0,6,2,2,3,1,1,2,2,.,11,1996,21,1,Midwest,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Firefighter,Sprain/Strain,Neck,Gas,Cleaning,Excavation
411,S,1996IN123,IN,28,1,7,3,579,80,8,6229,119,362,26,1721,1,3.00,3,.,3,0,6,1,3,3,2,2,2,1,20,9,1996,48,1,Midwest,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Forklift Operator,Concussion,Multiple Parts,Other Chemical,Customer Service,Wholesale
412,S,1996KY093,KY,31,1,7,3,783,60,10,6221,1122,633,47,1541,1,.,.,61.00,243,0,6,1,3,3,1,1,2,1,.,9,1996,30,1,South,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,Medical Assistant,Amputation,Neck,Gas,Cleaning,Excavation
413,S,1996MA023,MA,68,1,7,3,556,80,8,624,119,611,47,1721,2,.,1,.,3,0,6,3,1,2,3,3,3,2,22,5,1996,12,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Groundskeeper,Concussion,Multiple Parts,Liquid,Education,Wholesale
414,S,1996MA027,MA,65,1,7,3,595,60,10,623,116,312,14,1761,2,.,2,.,2,0,6,3,3,3,3,3,3,2,20,6,1996,11,1,Northeast,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Administrative Assistant,Amputation,Neck,Gas,Clerical,Education
415,S,1996MA029,MA,36,1,7,3,567,80,8,6221,116,313,47,1751,1,30.00,20,4383.00,9,0,6,3,3,3,1,1,3,2,25,6,1996,7,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Molder,Concussion,Multiple Parts,Gas,Data Entry,Healthcare
416,S,1996MA031,MA,13,1,7,3,869,18,10,3996,433,.,48,2951,3,2.50,4,.,5,0,6,3,3,3,3,2,3,1,25,7,1996,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,Manager,Sprain/Strain,Neck,Other Equipment,Unknown,Transportation
417,S,1996MD036,MD,40,1,7,3,585,80,8,6229,113,611,47,1711,1,74.00,35,730.50,8,0,6,2,3,3,1,1,2,1,4,7,1996,22,0,South,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Stock Clerk,Concussion,Multiple Parts,Other Chemical,Education,Retail
418,S,1996MD055,MD,53,1,7,3,558,89,8,3464,21,323,47,1796,1,.,.,.,190,1,6,2,3,3,1,3,3,1,24,9,1996,.,.,South,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Shock,Multiple Parts,Desk,Planning,Other Services
419,S,1996MN056,MN,36,1,7,3,853,93,5,4415,313,632,10,1771,1,.,.,.,2,0,6,3,3,3,3,3,3,1,16,7,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Pharmacist,Seizure,Toe,Vehicle,Serving,Public Administration
420,S,1996MN059,MN,46,1,7,3,599,94,5,6271,41,312,14,1781,1,33.00,17,1278.38,2,0,6,2,3,3,3,3,3,1,1,8,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Records Clerk,Other,Toe,Radiation,Clerical,Finance
421,S,1996MN073,MN,20,1,7,3,585,94,5,6271,41,312,47,1629,1,38.00,60,1095.75,4,0,6,2,1,3,3,3,3,1,15,10,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Other,Toe,Radiation,Clerical,Other Manufacturing
422,S,1996MN074,MN,39,1,7,3,869,60,10,6221,118,323,46,5051,1,40.00,24,1278.38,2,0,6,2,3,3,3,3,3,1,2,10,1996,17,1,Midwest,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,Manager,Amputation,Neck,Gas,Planning,Software
423,S,1996MN084,MN,54,1,7,3,855,60,10,3212,433,323,98,1629,1,.,.,.,2,0,6,2,3,3,3,3,3,1,29,11,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Therapist,Amputation,Neck,Saw,Planning,Other Manufacturing
424,S,1996MN085,MN,20,1,7,3,597,68,10,626,116,312,47,1791,1,35.00,370,2191.50,.,0,6,2,1,3,3,1,3,1,28,10,1996,13,1,Midwest,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,Data Entry Clerk,Internal Injury,Neck,Steam,Clerical,Insurance
425,S,1996MO012,MO,55,1,7,3,843,86,8,8252,431,150,62,1611,1,75.00,.,10957.50,.,0, ,2,3,1,1,1,3,2,6,2,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Doctor,Poisoning,Multiple Parts,Wall,HVAC,Manufacturing
426,S,1996MO061,MO,60,1,7,3,558,94,220,8259,24,162,64,1611,1,.,.,5113.50,4,0,3,3,3,3,2,1,2,1,25,7,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Landscaper,Other,Torso,Other Building,Welding,Manufacturing
427,S,1996NE00501,NE,30,1,7,3,585,959,5,972,3411,313,48,1799,1,18.00,3,122.00,2,0,6,3,1,3,1,1,3,1,28,2,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Fatal Injury,Toe,Other,Data Entry,Miscellaneous
428,S,1996NE00502,NE,52,1,7,3,585,959,5,972,3411,313,48,1799,1,18.00,3,152.50,2,0,6,3,1,3,1,1,3,1,28,2,1996,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Fatal Injury,Toe,Other,Data Entry,Miscellaneous
429,S,1996NE043,NE,39,1,7,3,849,94,220,3434,32,212,94,1622,1,50.00,700,61.00,20,0,6,3,3,3,1,2,2,1,4,11,1996,.,.,Midwest,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Dentist,Other,Torso,Bucket,Assembly,Assembly
430,S,1996NJ003,NJ,57,1,7,3,869,84,8,6221,1153,631,46,2099,1,150.00,160,3.00,17,0,6,2,1,1,3,3,3,1,15,1,1996,30,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Manager,Asphyxia,Multiple Parts,Gas,Cooking,Unknown
431,S,1996NJ024,NJ,54,1,4,1,567,86,8,6251,113,311,47,1542,1,30.00,45,5.00,2,0,6,3,3,3,2,1,2,1,27,10,1995,16,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Molder,Poisoning,Multiple Parts,Dust,Office Work,Roofing
432,S,1996NJ058,NJ,57,1,7,3,563,94,8,8510,433,162,47,1741,1,41.00,45,21.00,.,0,6,3,3,3,3,2,3,2,19,8,1996,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Assembler,Other,Multiple Parts,Customer,Welding,Accommodation
433,S,1996NJ059,NJ,34,1,7,3,597,86,8,623,1154,312,47,1791,1,12.00,4,3652.50,2,0,6,2,1,3,2,2,2,1,6,8,1996,18,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Poisoning,Multiple Parts,Gas,Clerical,Insurance
434,I,1997-03,PA,42,1,7,3,516,80,8,3434,21,313,43,5093,1,12.00,10,4383.00,3,0,6,3,3,3,3,1,3,1,17,3,1997,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Engineer,Concussion,Multiple Parts,Bucket,Data Entry,Hardware
435,I,1997-08,SC,22,1,7,3,866,68,13,6221,1122,639,14,1771,1,15.00,15,9.00,.,0,6,2,3,3,2,3,3,1,23,3,1997,120,1,South,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,Program Coordinator,Internal Injury,Arm,Gas,Other Entertainment,Public Administration
436,I,1997-10,NC,38,1,7,3,597,80,8,623,119,619,98,1791,1,3.00,27,365.25,5,0,6,1,3,1,1,1,2,1,15,5,1997,200,1,South,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Concussion,Multiple Parts,Gas,Other Education,Insurance
437,I,1997-11,PA,20,1,7,3,869,94,220,3223,433,162,48,3271,1,20.00,50,15.00,2,0,6,1,1,3,1,2,2,2,10,6,1997,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Torso,Wrench,Welding,Warehousing
438,S,1997AK033,AK,29,1,7,3,869,60,10,439,21,540,47,1629,1,25.00,.,1.00,5,0,6,1,3,1,1,3,3,1,20,9,1997,.,.,West,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Amputation,Neck,Scaffold,Pharmacy,Other Manufacturing
439,S,1997CA001,CA,38,1,7,3,864,80,8,3431,39,322,47,1629,1,88.00,275,2739.75,42,0,6,3,3,1,1,1,3,2,7,1,1997,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Counselor,Concussion,Multiple Parts,Bottle,Management,Other Manufacturing
440,S,1997CA005,CA,39,1,7,3,853,91,5,3210,41,215,14,1623,1,6.00,20,3.00,5,0,6,3,3,1,2,2,2,1,20,2,1997,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Pharmacist,Heart Attack,Toe,Hand Tool,Packaging,Packaging
441,S,1997CA008,CA,25,1,7,3,844,94,220,3211,30,330,47,1623,1,10.50,9,1461.00,5,0,6,3,1,1,1,1,2,2,8,5,1997,.,.,West,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Surgeon,Other,Torso,Power Tool,Other Office,Packaging
442,S,1997CA009,CA,22,1,7,3,869,94,220,3221,21,540,47,1623,1,26.00,13,2191.50,2,0,6,1,3,1,1,1,3,2,22,5,1997,.,.,West,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,Manager,Other,Torso,Hammer,Pharmacy,Packaging
443,S,1997CA011,CA,65,1,7,3,853,80,8,3223,4233,114,14,1794,2,42.00,1,15340.50,2,0,6,2,2,3,2,2,2,1,29,12,1997,.,.,West,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,Pharmacist,Concussion,Multiple Parts,Wrench,Excavation,Legal
444,S,1997IA052,IA,36,1,7,3,849,86,8,3434,119,312,21,1799,1,12.00,16,152.50,6,0,6,2,3,3,1,1,3,2,.,7,1997,180,0,Midwest,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Dentist,Poisoning,Multiple Parts,Bucket,Clerical,Miscellaneous
445,S,1997KY022,KY,35,1,3,1,869,86,8,6221,119,510,47,9999,1,.,.,183.00,4,0,6,2,1,3,2,2,2,1,13,3,1997,23,1,South,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Manager,Poisoning,Multiple Parts,Gas,Nursing,Unknown
446,S,1997KY032,KY,56,1,7,3,856,94,8,3212,4233,114,23,2411,2,.,1,.,1,0,6,2,2,3,3,3,3,2,.,4,1997,.,.,South,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,Psychologist,Other,Multiple Parts,Saw,Excavation,Mining
447,S,1997KY071,KY,48,1,7,3,558,60,10,6221,1152,634,47,1761,1,10.00,1400,1095.75,2,0,6,2,3,1,1,1,2,2,26,7,1997,25,1,South,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Landscaper,Amputation,Neck,Gas,Other Food,Education
448,S,1997KY111,KY,41,1,7,3,567,60,10,6221,119,311,46,1751,2,20.00,.,7305.00,3,0,6,2,2,3,2,2,2,1,4,10,1997,7,0,South,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,Molder,Amputation,Neck,Gas,Office Work,Healthcare
449,S,1997MA031,MA,17,1,7,3,869,60,10,118,41,232,47,1794,3,.,2,.,3,0,6,2,3,3,3,3,3,2,4,8,1997,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,Manager,Amputation,Neck,Crane,Repair,Legal
450,S,1997MA044,MA,32,1,7,3,59,86,8,624,1154,633,12,8711,1,113.00,53000,.,4,0,6,2,3,3,1,3,3,1,17,9,1997,29,1,Northeast,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Carpenter,Poisoning,Multiple Parts,Liquid,Cleaning,Government
451,S,1997MA050,MA,33,1,7,3,567,60,10,623,1121,312,47,1541,1,12.00,140,183.00,9,0,6,2,3,3,1,3,3,1,10,10,1997,23,1,Northeast,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,Molder,Amputation,Neck,Gas,Clerical,Excavation
452,S,1997MD045,MD,39,1,7,3,869,80,8,624,116,313,10,1741,1,24.00,5,213.50,2,0,6,2,3,3,2,3,3,1,27,6,1997,46,0,South,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Concussion,Multiple Parts,Liquid,Data Entry,Accommodation
453,S,1997MN008,MN,23,1,7,3,567,60,10,6279,1124,311,14,1521,1,2.00,15,244.00,3,0,6,2,3,3,3,3,3,1,3,2,1997,9,0,Midwest,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Molder,Amputation,Neck,Other Radiation,Office Work,Construction
454,S,1997MN019,MN,30,1,7,3,869,94,8,3212,433,330,47,1794,1,18.00,32,365.25,3,0,6,3,3,3,2,2,3,2,14,5,1997,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Multiple Parts,Saw,Other Office,Legal
455,S,1997MN047,MN,46,1,7,3,869,94,8,3212,433,330,47,9999,1,.,.,.,.,0,6,3,1,3,3,3,3,1,21,11,1997,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Multiple Parts,Saw,Other Office,Unknown
456,S,1997MO037,MO,24,2,7,3,855,94,220,3254,4233,114,65,9999,1,77.00,.,365.25,10,0,6,2,3,3,1,1,2,1,14,4,1997,.,.,Midwest,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,Therapist,Other,Torso,Sheet,Excavation,Unknown
457,S,1997NE006,NE,52,1,7,3,527,80,8,647,21,636,29,1731,1,62.00,28,10957.50,4,0,3,3,3,3,1,3,3,2,29,4,1997,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Architect,Concussion,Multiple Parts,Explosion,Performance,Food Service
458,S,1997NE011,NE,53,1,7,3,804,60,10,3292,221,311,65,1795,1,9.00,45,21.00,.,0,6,3,3,3,1,3,3,1,20,5,1997,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nurse,Amputation,Neck,Trash,Office Work,Consulting
459,S,1997NE035,NE,40,1,7,3,558,94,8,623,1151,594,47,1791,1,8.00,24,2556.75,7,0,6,1,2,3,2,3,3,1,3,9,1997,30,1,Midwest,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Landscaper,Other,Multiple Parts,Gas,Law Enforcement,Insurance
460,S,1997NE041,NE,39,1,7,3,869,80,23,3211,32,632,47,1711,1,30.00,2,137.25,2,0,6,3,2,3,2,3,3,1,7,11,1997,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,Manager,Concussion,Back,Power Tool,Serving,Retail
461,S,1997NJ045,NJ,79,1,7,3,558,80,8,6221,113,322,49,1799,2,11.00,1,4383.00,2,0,6,3,3,1,3,3,3,1,7,7,1997,6,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Landscaper,Concussion,Multiple Parts,Gas,Management,Miscellaneous
462,S,1997NJ062,NJ,45,1,4,1,579,60,10,6221,113,362,79,1721,1,11.00,5,61.00,4,0,6,3,3,1,2,1,2,1,12,8,1997,9,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Forklift Operator,Amputation,Neck,Gas,Customer Service,Wholesale
463,S,1997NJ067,NJ,39,1,3,1,597,89,8,6221,117,634,47,1791,1,10.00,4,8.00,4,0,6,2,1,1,2,2,2,1,3,9,1997,26,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Shock,Multiple Parts,Gas,Other Food,Insurance
464,S,1997NJ069,NJ,45,1,7,3,593,80,8,623,1154,632,12,1741,1,13.00,21,548.25,3,0,6,2,1,3,2,1,2,1,7,8,1997,90,1,Northeast,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Office Clerk,Concussion,Multiple Parts,Gas,Serving,Accommodation
