Scenario,Risk_Level,Cause_of_Accident,Keywords
Records clerk suffered concussion to the multiple parts while cleaning with coworker in assembly.,High,Concussion due to Coworker during Cleaning,"Records Clerk, Concussion, Multiple Parts, Coworker, Cleaning, Assembly"
Records clerk suffered stroke to the toe while other with other fatal in assembly.,High,Stroke due to Other Fatal during Other,"Records Clerk, Stroke, Toe, Other Fatal, Other, Assembly"
Administrative assistant suffered internal injury to the arm while clerical with gas in education.,High,Internal Injury due to Gas during Clerical,"Administrative Assistant, Internal Injury, Arm, Gas, Clerical, Education"
Molder suffered amputation to the neck while sales with gas in construction.,Low,Amputation due to Gas during Sales,"Molder, Amputation, Neck, Gas, Sales, Construction"
Manager suffered other to the multiple parts while cleaning with liquid in excavation.,High,Other due to Liquid during Cleaning,"Manager, Other, Multiple Parts, Liquid, Cleaning, Excavation"
Manager suffered amputation to the neck while roofing with sheet in manufacturing.,High,Amputation due to Sheet during Roofing,"Manager, Amputation, Neck, Sheet, Roofing, Manufacturing"
Assembler suffered amputation to the neck while education with gas in roofing.,Medium,Amputation due to Gas during Education,"Assembler, Amputation, Neck, Gas, Education, Roofing"
Data entry clerk suffered poisoning to the multiple parts while surgery with fire in education.,High,Poisoning due to Fire during Surgery,"Data Entry Clerk, Poisoning, Multiple Parts, Fire, Surgery, Education"
Manager suffered internal injury to the hand while other office with liquid in construction.,High,Internal Injury due to Liquid during Other Office,"Manager, Internal Injury, Hand, Liquid, Other Office, Construction"
Molder suffered amputation to the neck while office work with gas in roofing.,High,Amputation due to Gas during Office Work,"Molder, Amputation, Neck, Gas, Office Work, Roofing"
Material handler suffered internal injury to the arm while teaching with liquid in tourism.,High,Internal Injury due to Liquid during Teaching,"Material Handler, Internal Injury, Arm, Liquid, Teaching, Tourism"
Manager suffered internal injury to the hand while surgery with chemical substance in education.,High,Internal Injury due to Chemical Substance during Surgery,"Manager, Internal Injury, Hand, Chemical Substance, Surgery, Education"
Records clerk suffered heart attack to the toe while other maintenance with radiation in miscellaneous.,Medium,Heart Attack due to Radiation during Other Maintenance,"Records Clerk, Heart Attack, Toe, Radiation, Other Maintenance, Miscellaneous"
Medical assistant suffered concussion to the multiple parts while serving with door in miscellaneous.,Medium,Concussion due to Door during Serving,"Medical Assistant, Concussion, Multiple Parts, Door, Serving, Miscellaneous"
Landscaper suffered poisoning to the multiple parts while roofing with gas in insurance.,Medium,Poisoning due to Gas during Roofing,"Landscaper, Poisoning, Multiple Parts, Gas, Roofing, Insurance"
Groundskeeper suffered poisoning to the multiple parts while teaching with box in wholesale.,High,Poisoning due to Box during Teaching,"Groundskeeper, Poisoning, Multiple Parts, Box, Teaching, Wholesale"
Molder suffered internal injury to the arm while other public safety with other environmental in construction.,High,Internal Injury due to Other Environmental during Other Public Safety,"Molder, Internal Injury, Arm, Other Environmental, Other Public Safety, Construction"
Administrative assistant suffered amputation to the neck while cleaning with building in education.,High,Amputation due to Building during Cleaning,"Administrative Assistant, Amputation, Neck, Building, Cleaning, Education"
Firefighter suffered internal injury to the arm while data entry with gas in education.,High,Internal Injury due to Gas during Data Entry,"Firefighter, Internal Injury, Arm, Gas, Data Entry, Education"
Pharmacist suffered amputation to the neck while packaging with power tool in other manufacturing.,High,Amputation due to Power Tool during Packaging,"Pharmacist, Amputation, Neck, Power Tool, Packaging, Other Manufacturing"
Dentist suffered amputation to the neck while assembly with gas in assembly.,Medium,Amputation due to Gas during Assembly,"Dentist, Amputation, Neck, Gas, Assembly"
Landscaper suffered poisoning to the multiple parts while other food with gas in postal.,Medium,Poisoning due to Gas during Other Food,"Landscaper, Poisoning, Multiple Parts, Gas, Other Food, Postal"
Data entry clerk suffered poisoning to the multiple parts while surgery with gas in other manufacturing.,Low,Poisoning due to Gas during Surgery,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Surgery, Other Manufacturing"
Nurse suffered other to the multiple parts while supervision with wall in banking.,Medium,Other due to Wall during Supervision,"Nurse, Other, Multiple Parts, Wall, Supervision, Banking"
Inspector suffered poisoning to the multiple parts while maintenance with gas in other services.,Low,Poisoning due to Gas during Maintenance,"Inspector, Poisoning, Multiple Parts, Gas, Maintenance, Other Services"
Plumber suffered other to the multiple parts while other office with container in broadcasting.,High,Other due to Container during Other Office,"Plumber, Other, Multiple Parts, Container, Other Office, Broadcasting"
Administrative assistant suffered amputation to the neck while surgery with crane in education.,High,Amputation due to Crane during Surgery,"Administrative Assistant, Amputation, Neck, Crane, Surgery, Education"
Administrative assistant suffered amputation to the neck while clerical with liquid in education.,Medium,Amputation due to Liquid during Clerical,"Administrative Assistant, Amputation, Neck, Liquid, Clerical, Education"
Medical assistant suffered poisoning to the multiple parts while other medical with other material in packaging.,Medium,Poisoning due to Other Material during Other Medical,"Medical Assistant, Poisoning, Multiple Parts, Other Material, Other Medical, Packaging"
Data entry clerk suffered concussion to the multiple parts while serving with gas in insurance.,Medium,Concussion due to Gas during Serving,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Serving, Insurance"
Data entry clerk suffered concussion to the multiple parts while office work with gas in insurance.,Medium,Concussion due to Gas during Office Work,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Office Work, Insurance"
Manager suffered poisoning to the multiple parts while welding with floor in manufacturing.,High,Poisoning due to Floor during Welding,"Manager, Poisoning, Multiple Parts, Floor, Welding, Manufacturing"
Assembler suffered internal injury to the arm while clerical with gas in other manufacturing.,Medium,Internal Injury due to Gas during Clerical,"Assembler, Internal Injury, Arm, Gas, Clerical, Other Manufacturing"
Stock clerk suffered poisoning to the multiple parts while education with liquid in retail.,Medium,Poisoning due to Liquid during Education,"Stock Clerk, Poisoning, Multiple Parts, Liquid, Education, Retail"
Lab technician suffered shock to the multiple parts while loading with trash in legal.,Medium,Shock due to Trash during Loading,"Lab Technician, Shock, Multiple Parts, Trash, Loading, Legal"
Data entry clerk suffered concussion to the multiple parts while customer service with gas in insurance.,Medium,Concussion due to Gas during Customer Service,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Customer Service, Insurance"
Molder suffered puncture to the leg while office work with other substance in healthcare.,High,Puncture due to Other Substance during Office Work,"Molder, Puncture, Leg, Other Substance, Office Work, Healthcare"
Manager suffered internal injury to the arm while clerical with fume in construction.,Medium,Internal Injury due to Fume during Clerical,"Manager, Internal Injury, Arm, Fume, Clerical, Construction"
Records clerk suffered seizure to the toe while nursing with vehicle in roofing.,High,Seizure due to Vehicle during Nursing,"Records Clerk, Seizure, Toe, Vehicle, Nursing, Roofing"
Secretary suffered amputation to the neck while excavation with sheet in manufacturing.,Medium,Amputation due to Sheet during Excavation,"Secretary, Amputation, Neck, Sheet, Excavation, Manufacturing"
Data entry clerk suffered poisoning to the multiple parts while surgery with gas in insurance.,Medium,Poisoning due to Gas during Surgery,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Surgery, Insurance"
Janitor suffered concussion to the multiple parts while therapy with gas in demolition.,High,Concussion due to Gas during Therapy,"Janitor, Concussion, Multiple Parts, Gas, Therapy, Demolition"
Administrative assistant suffered asphyxia to the multiple parts while clerical with fume in education.,Low,Asphyxia due to Fume during Clerical,"Administrative Assistant, Asphyxia, Multiple Parts, Fume, Clerical, Education"
Administrative assistant suffered no injury to the unknown while clerical with gas in education.,Low,No Injury due to Gas during Clerical,"Administrative Assistant, No Injury, Unknown, Gas, Clerical, Education"
Landscaper suffered other to the torso while office work with liquid in roofing.,Low,Other due to Liquid during Office Work,"Landscaper, Other, Torso, Liquid, Office Work, Roofing"
Molder suffered other to the unknown while packaging with hammer in construction.,High,Other due to Hammer during Packaging,"Molder, Other, Unknown, Hammer, Packaging, Construction"
Machine operator suffered multiple injuries to the shoulder while shipping with other hand tool in consulting.,High,Multiple Injuries due to Other Hand Tool during Shipping,"Machine Operator, Multiple Injuries, Shoulder, Other Hand Tool, Shipping, Consulting"
Stock clerk suffered heart attack to the toe while clerical with radiation in public administration.,Low,Heart Attack due to Radiation during Clerical,"Stock Clerk, Heart Attack, Toe, Radiation, Clerical, Public Administration"
Manager suffered other to the torso while receiving with pipe in packaging.,Medium,Other due to Pipe during Receiving,"Manager, Other, Torso, Pipe, Receiving, Packaging"
Manager suffered concussion to the multiple parts while cleaning with gas in consulting.,High,Concussion due to Gas during Cleaning,"Manager, Concussion, Multiple Parts, Gas, Cleaning, Consulting"
Molder suffered amputation to the neck while clerical with gas in demolition.,High,Amputation due to Gas during Clerical,"Molder, Amputation, Neck, Gas, Clerical, Demolition"
Machine operator suffered amputation to the neck while cleaning with gas in food service.,Medium,Amputation due to Gas during Cleaning,"Machine Operator, Amputation, Neck, Gas, Cleaning, Food Service"
Medical assistant suffered poisoning to the multiple parts while quality control with knife in insurance.,Low,Poisoning due to Knife during Quality Control,"Medical Assistant, Poisoning, Multiple Parts, Knife, Quality Control, Insurance"
Manager suffered other to the torso while therapy with window in demolition.,Low,Other due to Window during Therapy,"Manager, Other, Torso, Window, Therapy, Demolition"
Medical assistant suffered other to the torso while quality control with heat in insurance.,Medium,Other due to Heat during Quality Control,"Medical Assistant, Other, Torso, Heat, Quality Control, Insurance"
Therapist suffered concussion to the multiple parts while excavation with panel in manufacturing.,High,Concussion due to Panel during Excavation,"Therapist, Concussion, Multiple Parts, Panel, Excavation, Manufacturing"
Custodian suffered amputation to the neck while excavation with gas in retail.,Medium,Amputation due to Gas during Excavation,"Custodian, Amputation, Neck, Gas, Excavation, Retail"
Manager suffered seizure to the toe while data entry with vehicle in food service.,High,Seizure due to Vehicle during Data Entry,"Manager, Seizure, Toe, Vehicle, Data Entry, Food Service"
Forklift operator suffered amputation to the neck while customer service with gas in wholesale.,Medium,Amputation due to Gas during Customer Service,"Forklift Operator, Amputation, Neck, Gas, Customer Service, Wholesale"
Manager suffered poisoning to the multiple parts while supervision with gas in education.,Low,Poisoning due to Gas during Supervision,"Manager, Poisoning, Multiple Parts, Gas, Supervision, Education"
Data entry clerk suffered other to the torso while cleaning with escalator in insurance.,Low,Other due to Escalator during Cleaning,"Data Entry Clerk, Other, Torso, Escalator, Cleaning, Insurance"
Receiving clerk suffered other to the torso while serving with other building in public administration.,Medium,Other due to Other Building during Serving,"Receiving Clerk, Other, Torso, Other Building, Serving, Public Administration"
Landscaper suffered concussion to the multiple parts while hvac with barrel in assembly.,Medium,Concussion due to Barrel during HVAC,"Landscaper, Concussion, Multiple Parts, Barrel, HVAC, Assembly"
Landscaper suffered seizure to the toe while receiving with vehicle in finance.,Medium,Seizure due to Vehicle during Receiving,"Landscaper, Seizure, Toe, Vehicle, Receiving, Finance"
File clerk suffered seizure to the toe while other medical with vehicle in finance.,High,Seizure due to Vehicle during Other Medical,"File Clerk, Seizure, Toe, Vehicle, Other Medical, Finance"
Manager suffered heart attack to the toe while security with radiation in unknown.,Medium,Heart Attack due to Radiation during Security,"Manager, Heart Attack, Toe, Radiation, Security, Unknown"
Medical assistant suffered poisoning to the multiple parts while serving with escalator in insurance.,Medium,Poisoning due to Escalator during Serving,"Medical Assistant, Poisoning, Multiple Parts, Escalator, Serving, Insurance"
Pharmacist suffered concussion to the multiple parts while packaging with power tool in other manufacturing.,Medium,Concussion due to Power Tool during Packaging,"Pharmacist, Concussion, Multiple Parts, Power Tool, Packaging, Other Manufacturing"
Nurse suffered poisoning to the multiple parts while supervision with wall in investment.,Medium,Poisoning due to Wall during Supervision,"Nurse, Poisoning, Multiple Parts, Wall, Supervision, Investment"
Janitor suffered puncture to the neck while repair with natural disaster in healthcare.,Medium,Puncture due to Natural Disaster during Repair,"Janitor, Puncture, Neck, Natural Disaster, Repair, Healthcare"
Gardener suffered seizure to the toe while clerical with other cause in retail.,High,Seizure due to Other Cause during Clerical,"Gardener, Seizure, Toe, Other Cause, Clerical, Retail"
Packager suffered amputation to the neck while data entry with gas in food service.,High,Amputation due to Gas during Data Entry,"Packager, Amputation, Neck, Gas, Data Entry, Food Service"
Medical assistant suffered asphyxia to the multiple parts while quality control with liquid in insurance.,Low,Asphyxia due to Liquid during Quality Control,"Medical Assistant, Asphyxia, Multiple Parts, Liquid, Quality Control, Insurance"
Doctor suffered other to the torso while data entry with hammer in demolition.,Medium,Other due to Hammer during Data Entry,"Doctor, Other, Torso, Hammer, Data Entry, Demolition"
Manager suffered cut/laceration to the multiple parts while plumbing with board in manufacturing.,Low,Cut/Laceration due to Board during Plumbing,"Manager, Cut/Laceration, Multiple Parts, Board, Plumbing, Manufacturing"
Heavy equipment operator suffered other to the torso while serving with wrench in agriculture.,High,Other due to Wrench during Serving,"Heavy Equipment Operator, Other, Torso, Wrench, Serving, Agriculture"
Records clerk suffered amputation to the neck while other food with other radiation in miscellaneous.,Medium,Amputation due to Other Radiation during Other Food,"Records Clerk, Amputation, Neck, Other Radiation, Other Food, Miscellaneous"
Firefighter suffered sprain/strain to the neck while cleaning with gas in excavation.,Medium,Sprain/Strain due to Gas during Cleaning,"Firefighter, Sprain/Strain, Neck, Gas, Cleaning, Excavation"
Forklift operator suffered concussion to the multiple parts while customer service with other chemical in wholesale.,High,Concussion due to Other Chemical during Customer Service,"Forklift Operator, Concussion, Multiple Parts, Other Chemical, Customer Service, Wholesale"
Medical assistant suffered amputation to the neck while cleaning with gas in excavation.,Medium,Amputation due to Gas during Cleaning,"Medical Assistant, Amputation, Neck, Gas, Cleaning, Excavation"
Groundskeeper suffered concussion to the multiple parts while education with liquid in wholesale.,High,Concussion due to Liquid during Education,"Groundskeeper, Concussion, Multiple Parts, Liquid, Education, Wholesale"
Administrative assistant suffered amputation to the neck while clerical with gas in education.,Medium,Amputation due to Gas during Clerical,"Administrative Assistant, Amputation, Neck, Gas, Clerical, Education"
Molder suffered concussion to the multiple parts while data entry with gas in healthcare.,Medium,Concussion due to Gas during Data Entry,"Molder, Concussion, Multiple Parts, Gas, Data Entry, Healthcare"
Manager suffered sprain/strain to the neck while unknown with other equipment in transportation.,Medium,Sprain/Strain due to Other Equipment during Unknown,"Manager, Sprain/Strain, Neck, Other Equipment, Unknown, Transportation"
Stock clerk suffered concussion to the multiple parts while education with other chemical in retail.,Medium,Concussion due to Other Chemical during Education,"Stock Clerk, Concussion, Multiple Parts, Other Chemical, Education, Retail"
Landscaper suffered shock to the multiple parts while planning with desk in other services.,Medium,Shock due to Desk during Planning,"Landscaper, Shock, Multiple Parts, Desk, Planning, Other Services"
Pharmacist suffered seizure to the toe while serving with vehicle in public administration.,Low,Seizure due to Vehicle during Serving,"Pharmacist, Seizure, Toe, Vehicle, Serving, Public Administration"
Records clerk suffered other to the toe while clerical with radiation in finance.,Low,Other due to Radiation during Clerical,"Records Clerk, Other, Toe, Radiation, Clerical, Finance"
Stock clerk suffered other to the toe while clerical with radiation in other manufacturing.,High,Other due to Radiation during Clerical,"Stock Clerk, Other, Toe, Radiation, Clerical, Other Manufacturing"
Manager suffered amputation to the neck while planning with gas in software.,High,Amputation due to Gas during Planning,"Manager, Amputation, Neck, Gas, Planning, Software"
Therapist suffered amputation to the neck while planning with saw in other manufacturing.,High,Amputation due to Saw during Planning,"Therapist, Amputation, Neck, Saw, Planning, Other Manufacturing"
Data entry clerk suffered internal injury to the neck while clerical with steam in insurance.,Medium,Internal Injury due to Steam during Clerical,"Data Entry Clerk, Internal Injury, Neck, Steam, Clerical, Insurance"
Doctor suffered poisoning to the multiple parts while hvac with wall in manufacturing.,Low,Poisoning due to Wall during HVAC,"Doctor, Poisoning, Multiple Parts, Wall, HVAC, Manufacturing"
Landscaper suffered other to the torso while welding with other building in manufacturing.,High,Other due to Other Building during Welding,"Landscaper, Other, Torso, Other Building, Welding, Manufacturing"
Stock clerk suffered fatal injury to the toe while data entry with other in miscellaneous.,High,Fatal Injury due to Other during Data Entry,"Stock Clerk, Fatal Injury, Toe, Other, Data Entry, Miscellaneous"
Stock clerk suffered fatal injury to the toe while data entry with other in miscellaneous.,Low,Fatal Injury due to Other during Data Entry,"Stock Clerk, Fatal Injury, Toe, Other, Data Entry, Miscellaneous"
Dentist suffered other to the torso while assembly with bucket in assembly.,High,Other due to Bucket during Assembly,"Dentist, Other, Torso, Bucket, Assembly"
Manager suffered asphyxia to the multiple parts while cooking with gas in unknown.,Medium,Asphyxia due to Gas during Cooking,"Manager, Asphyxia, Multiple Parts, Gas, Cooking, Unknown"
Molder suffered poisoning to the multiple parts while office work with dust in roofing.,Low,Poisoning due to Dust during Office Work,"Molder, Poisoning, Multiple Parts, Dust, Office Work, Roofing"
Assembler suffered other to the multiple parts while welding with customer in accommodation.,Medium,Other due to Customer during Welding,"Assembler, Other, Multiple Parts, Customer, Welding, Accommodation"
Data entry clerk suffered poisoning to the multiple parts while clerical with gas in insurance.,Medium,Poisoning due to Gas during Clerical,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Clerical, Insurance"
Engineer suffered concussion to the multiple parts while data entry with bucket in hardware.,High,Concussion due to Bucket during Data Entry,"Engineer, Concussion, Multiple Parts, Bucket, Data Entry, Hardware"
Program coordinator suffered internal injury to the arm while other entertainment with gas in public administration.,Medium,Internal Injury due to Gas during Other Entertainment,"Program Coordinator, Internal Injury, Arm, Gas, Other Entertainment, Public Administration"
Data entry clerk suffered concussion to the multiple parts while other education with gas in insurance.,Low,Concussion due to Gas during Other Education,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Other Education, Insurance"
Manager suffered other to the torso while welding with wrench in warehousing.,High,Other due to Wrench during Welding,"Manager, Other, Torso, Wrench, Welding, Warehousing"
Manager suffered amputation to the neck while pharmacy with scaffold in other manufacturing.,Medium,Amputation due to Scaffold during Pharmacy,"Manager, Amputation, Neck, Scaffold, Pharmacy, Other Manufacturing"
Counselor suffered concussion to the multiple parts while management with bottle in other manufacturing.,High,Concussion due to Bottle during Management,"Counselor, Concussion, Multiple Parts, Bottle, Management, Other Manufacturing"
Pharmacist suffered heart attack to the toe while packaging with hand tool in packaging.,Low,Heart Attack due to Hand Tool during Packaging,"Pharmacist, Heart Attack, Toe, Hand Tool, Packaging"
Surgeon suffered other to the torso while other office with power tool in packaging.,Low,Other due to Power Tool during Other Office,"Surgeon, Other, Torso, Power Tool, Other Office, Packaging"
Manager suffered other to the torso while pharmacy with hammer in packaging.,Medium,Other due to Hammer during Pharmacy,"Manager, Other, Torso, Hammer, Pharmacy, Packaging"
Pharmacist suffered concussion to the multiple parts while excavation with wrench in legal.,Medium,Concussion due to Wrench during Excavation,"Pharmacist, Concussion, Multiple Parts, Wrench, Excavation, Legal"
Dentist suffered poisoning to the multiple parts while clerical with bucket in miscellaneous.,Medium,Poisoning due to Bucket during Clerical,"Dentist, Poisoning, Multiple Parts, Bucket, Clerical, Miscellaneous"
Manager suffered poisoning to the multiple parts while nursing with gas in unknown.,Low,Poisoning due to Gas during Nursing,"Manager, Poisoning, Multiple Parts, Gas, Nursing, Unknown"
Psychologist suffered other to the multiple parts while excavation with saw in mining.,High,Other due to Saw during Excavation,"Psychologist, Other, Multiple Parts, Saw, Excavation, Mining"
Landscaper suffered amputation to the neck while other food with gas in education.,High,Amputation due to Gas during Other Food,"Landscaper, Amputation, Neck, Gas, Other Food, Education"
Molder suffered amputation to the neck while office work with gas in healthcare.,High,Amputation due to Gas during Office Work,"Molder, Amputation, Neck, Gas, Office Work, Healthcare"
Manager suffered amputation to the neck while repair with crane in legal.,Medium,Amputation due to Crane during Repair,"Manager, Amputation, Neck, Crane, Repair, Legal"
Carpenter suffered poisoning to the multiple parts while cleaning with liquid in government.,High,Poisoning due to Liquid during Cleaning,"Carpenter, Poisoning, Multiple Parts, Liquid, Cleaning, Government"
Molder suffered amputation to the neck while clerical with gas in excavation.,Medium,Amputation due to Gas during Clerical,"Molder, Amputation, Neck, Gas, Clerical, Excavation"
Manager suffered concussion to the multiple parts while data entry with liquid in accommodation.,High,Concussion due to Liquid during Data Entry,"Manager, Concussion, Multiple Parts, Liquid, Data Entry, Accommodation"
Molder suffered amputation to the neck while office work with other radiation in construction.,Low,Amputation due to Other Radiation during Office Work,"Molder, Amputation, Neck, Other Radiation, Office Work, Construction"
Manager suffered other to the multiple parts while other office with saw in legal.,Low,Other due to Saw during Other Office,"Manager, Other, Multiple Parts, Saw, Other Office, Legal"
Manager suffered other to the multiple parts while other office with saw in unknown.,Low,Other due to Saw during Other Office,"Manager, Other, Multiple Parts, Saw, Other Office, Unknown"
Therapist suffered other to the torso while excavation with sheet in unknown.,Medium,Other due to Sheet during Excavation,"Therapist, Other, Torso, Sheet, Excavation, Unknown"
Architect suffered concussion to the multiple parts while performance with explosion in food service.,High,Concussion due to Explosion during Performance,"Architect, Concussion, Multiple Parts, Explosion, Performance, Food Service"
Nurse suffered amputation to the neck while office work with trash in consulting.,Low,Amputation due to Trash during Office Work,"Nurse, Amputation, Neck, Trash, Office Work, Consulting"
Landscaper suffered other to the multiple parts while law enforcement with gas in insurance.,Medium,Other due to Gas during Law Enforcement,"Landscaper, Other, Multiple Parts, Gas, Law Enforcement, Insurance"
Manager suffered concussion to the back while serving with power tool in retail.,Medium,Concussion due to Power Tool during Serving,"Manager, Concussion, Back, Power Tool, Serving, Retail"
Landscaper suffered concussion to the multiple parts while management with gas in miscellaneous.,High,Concussion due to Gas during Management,"Landscaper, Concussion, Multiple Parts, Gas, Management, Miscellaneous"
Forklift operator suffered amputation to the neck while customer service with gas in wholesale.,Medium,Amputation due to Gas during Customer Service,"Forklift Operator, Amputation, Neck, Gas, Customer Service, Wholesale"
Data entry clerk suffered shock to the multiple parts while other food with gas in insurance.,Medium,Shock due to Gas during Other Food,"Data Entry Clerk, Shock, Multiple Parts, Gas, Other Food, Insurance"
Office clerk suffered concussion to the multiple parts while serving with gas in accommodation.,Medium,Concussion due to Gas during Serving,"Office Clerk, Concussion, Multiple Parts, Gas, Serving, Accommodation"
Data entry clerk suffered poisoning to the multiple parts while law enforcement with gas in insurance.,High,Poisoning due to Gas during Law Enforcement,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Law Enforcement, Insurance"
Administrative assistant suffered amputation to the neck while cleaning with gas in roofing.,High,Amputation due to Gas during Cleaning,"Administrative Assistant, Amputation, Neck, Gas, Cleaning, Roofing"
Shipping clerk suffered internal injury to the arm while data entry with forklift in retail.,Medium,Internal Injury due to Forklift during Data Entry,"Shipping Clerk, Internal Injury, Arm, Forklift, Data Entry, Retail"
Therapist suffered cut/laceration to the knee while welding with saw in mining.,High,Cut/Laceration due to Saw during Welding,"Therapist, Cut/Laceration, Knee, Saw, Welding, Mining"
Administrative assistant suffered amputation to the neck while office work with steam in construction.,Low,Amputation due to Steam during Office Work,"Administrative Assistant, Amputation, Neck, Steam, Office Work, Construction"
Nurse suffered other to the torso while cooking with barrel in banking.,Medium,Other due to Barrel during Cooking,"Nurse, Other, Torso, Barrel, Cooking, Banking"
Data entry clerk suffered concussion to the multiple parts while framing with gas in packaging.,High,Concussion due to Gas during Framing,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Framing, Packaging"
Manager suffered internal injury to the arm while welding with sheet in manufacturing.,Medium,Internal Injury due to Sheet during Welding,"Manager, Internal Injury, Arm, Sheet, Welding, Manufacturing"
Data entry clerk suffered poisoning to the multiple parts while framing with gas in packaging.,High,Poisoning due to Gas during Framing,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Framing, Packaging"
Records clerk suffered amputation to the neck while teaching with gas in miscellaneous.,Medium,Amputation due to Gas during Teaching,"Records Clerk, Amputation, Neck, Gas, Teaching, Miscellaneous"
Warehouse worker suffered concussion to the multiple parts while cleaning with gas in food service.,Low,Concussion due to Gas during Cleaning,"Warehouse Worker, Concussion, Multiple Parts, Gas, Cleaning, Food Service"
Records clerk suffered other to the torso while pharmacy with other material in miscellaneous.,High,Other due to Other Material during Pharmacy,"Records Clerk, Other, Torso, Other Material, Pharmacy, Miscellaneous"
Program coordinator suffered amputation to the neck while data entry with liquid in education.,Medium,Amputation due to Liquid during Data Entry,"Program Coordinator, Amputation, Neck, Liquid, Data Entry, Education"
Manager suffered poisoning to the multiple parts while clerical with gas in education.,High,Poisoning due to Gas during Clerical,"Manager, Poisoning, Multiple Parts, Gas, Clerical, Education"
Pharmacist suffered internal injury to the hand while packaging with fire in legal.,Medium,Internal Injury due to Fire during Packaging,"Pharmacist, Internal Injury, Hand, Fire, Packaging, Legal"
Manager suffered concussion to the multiple parts while cleaning with wall in manufacturing.,Medium,Concussion due to Wall during Cleaning,"Manager, Concussion, Multiple Parts, Wall, Cleaning, Manufacturing"
Data entry clerk suffered concussion to the multiple parts while clerical with gas in packaging.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Packaging"
Forklift operator suffered concussion to the multiple parts while customer service with fire in wholesale.,High,Concussion due to Fire during Customer Service,"Forklift Operator, Concussion, Multiple Parts, Fire, Customer Service, Wholesale"
Shipping clerk suffered amputation to the neck while supervision with gas in research.,Low,Amputation due to Gas during Supervision,"Shipping Clerk, Amputation, Neck, Gas, Supervision, Research"
Landscaper suffered other to the pelvis while data entry with floor in insurance.,Medium,Other due to Floor during Data Entry,"Landscaper, Other, Pelvis, Floor, Data Entry, Insurance"
Architect suffered concussion to the multiple parts while waste disposal with drill in packaging.,Low,Concussion due to Drill during Waste Disposal,"Architect, Concussion, Multiple Parts, Drill, Waste Disposal, Packaging"
Stock clerk suffered other to the torso while other education with gas in retail.,Low,Other due to Gas during Other Education,"Stock Clerk, Other, Torso, Gas, Other Education, Retail"
Packager suffered other to the neck while excavation with cabinet in food service.,Medium,Other due to Cabinet during Excavation,"Packager, Other, Neck, Cabinet, Excavation, Food Service"
Manager suffered shock to the hand while surgery with gas in education.,High,Shock due to Gas during Surgery,"Manager, Shock, Hand, Gas, Surgery, Education"
Firefighter suffered amputation to the neck while other food with gas in retail.,Medium,Amputation due to Gas during Other Food,"Firefighter, Amputation, Neck, Gas, Other Food, Retail"
Landscaper suffered concussion to the multiple parts while cleaning with building in insurance.,Medium,Concussion due to Building during Cleaning,"Landscaper, Concussion, Multiple Parts, Building, Cleaning, Insurance"
Manager suffered poisoning to the multiple parts while cleaning with gas in consulting.,Medium,Poisoning due to Gas during Cleaning,"Manager, Poisoning, Multiple Parts, Gas, Cleaning, Consulting"
Manager suffered concussion to the multiple parts while other transport with floor in roofing.,High,Concussion due to Floor during Other Transport,"Manager, Concussion, Multiple Parts, Floor, Other Transport, Roofing"
Psychologist suffered amputation to the neck while electrical with trash in manufacturing.,Medium,Amputation due to Trash during Electrical,"Psychologist, Amputation, Neck, Trash, Electrical, Manufacturing"
Landscaper suffered concussion to the multiple parts while clerical with liquid in education.,Medium,Concussion due to Liquid during Clerical,"Landscaper, Concussion, Multiple Parts, Liquid, Clerical, Education"
Records clerk suffered concussion to the multiple parts while cleaning with liquid in excavation.,High,Concussion due to Liquid during Cleaning,"Records Clerk, Concussion, Multiple Parts, Liquid, Cleaning, Excavation"
Medical assistant suffered amputation to the neck while quality control with truck in miscellaneous.,Medium,Amputation due to Truck during Quality Control,"Medical Assistant, Amputation, Neck, Truck, Quality Control, Miscellaneous"
Custodian suffered concussion to the multiple parts while cleaning with liquid in food service.,Low,Concussion due to Liquid during Cleaning,"Custodian, Concussion, Multiple Parts, Liquid, Cleaning, Food Service"
Machine operator suffered other to the chest while data entry with gas in food service.,High,Other due to Gas during Data Entry,"Machine Operator, Other, Chest, Gas, Data Entry, Food Service"
Molder suffered amputation to the neck while planning with waste in other manufacturing.,High,Amputation due to Waste during Planning,"Molder, Amputation, Neck, Waste, Planning, Other Manufacturing"
Case manager suffered amputation to the neck while education with noise in other services.,Medium,Amputation due to Noise during Education,"Case Manager, Amputation, Neck, Noise, Education, Other Services"
Toolmaker suffered concussion to the multiple parts while excavation with customer in medical.,High,Concussion due to Customer during Excavation,"Toolmaker, Concussion, Multiple Parts, Customer, Excavation, Medical"
